sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519300,670105,150805,5.193,6.70105,1.50805,0.025223335618171427,0.023772752486305202,0.028221996923005498,0.0004332490833070862,0.038038051278983416,0.12552556922064526,0.0005026833333333333,1.2679350426327806e-05,4.184185640688175e-05
2,Delta,3000,768872,829778,60906,7.68872,8.29778,0.60906,0.03147172689919068,0.024704344217728776,0.04217708619286156,0.0003526086617147292,0.019168169985221077,0.06325496095122955,0.00020302000000000002,6.389389995073692e-06,2.1084986983743185e-05
3,LZ77,200,928497,1567255,638758,9.28497,15.67255,6.38758,0.02452815606235649,0.013983244949254148,0.02862195638697643,0.0006951407661114482,0.15667555910078707,0.5170293450325972,0.0319379,0.0007833777955039353,0.002585146725162986
4,Huffman,100,1665935,1724896,58961,16.65935,17.24896,0.58961,0.027184872795134582,0.020568690238562396,0.04862404134377361,0.006438922895128112,0.0160284728487393,0.052893960400839685,0.0058961,0.000160284728487393,0.0005289396040083969
5,AES-128,100,1823954,1903700,79746,18.23954,19.037,0.79746,0.028598195687923718,0.025837569520657317,0.033683040951477436,0.0003715894498588517,0.022805917133291647,0.07525952653986243,0.0079746,0.00022805917133291646,0.0007525952653986243
6,SHA-256,500,2002442,2071463,69021,20.02442,20.71463,0.69021,0.028279811812485917,0.016609866931202016,0.035017605621923235,0.0014591282743614707,0.019519008911095904,0.06441272940661648,0.00138042,3.903801782219181e-05,0.00012882545881323296
7,ChaCha20,3000,2170107,2819480,649373,21.70107,28.1948,6.49373,0.027612284897027134,0.01646824827902367,0.03200027394457958,0.00021885597854754145,0.17930672280437202,0.5917121852544276,0.002164576666666667,5.9768907601457336e-05,0.0001972373950848092
8,CRC32,3000,2918237,3245469,327232,29.18237,32.45469,3.27232,0.022992919544352234,0.020761461511400767,0.02509782519309915,0.000132049765427561,0.0752401904833747,0.24829262859513648,0.0010907733333333333,2.5080063494458234e-05,8.276420953171217e-05
9,FFT,20,3344094,3625263,281169,33.44094,36.25263,2.81169,0.027575582051246383,0.02085791558255868,0.03414413310217437,0.0019909471419537173,0.07753398829766894,0.2558621613823075,0.1405845,0.003876699414883447,0.012793108069115374
10,FIR,300,3724470,3800802,76332,37.2447,38.00802,0.76332,0.02150026738018507,0.014076436964532212,0.024900993459095643,0.0001609717441272448,0.016411584096642867,0.05415822751892146,0.0025444,5.470528032214289e-05,0.00018052742506307153
11,IIR,50,3899741,4032853,133112,38.99741,40.32853,1.33112,0.029818034270489995,0.013890098557135242,0.03337615944488667,0.0005603451437579407,0.039691381778134645,0.13098155986784432,0.0266224,0.0007938276355626928,0.0026196311973568863
12,DCT,1,4131722,4879491,747769,41.31722,48.79491,7.47769,0.029554094140974024,0.01946379691747149,0.03393908919952227,0.0004561617887227354,0.22099635421702005,0.7292879689161661,7.47769,0.22099635421702005,0.7292879689161661
