sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,545058,627366,82308,5.45058,6.27366,0.82308,0.03965871055167249,0.037085837680516105,0.04813482251545524,0.00018012372347248214,0.0326422914808706,0.10771956188687297,0.00027436,1.0880763826956865e-05,3.5906520628957654e-05
2,Delta,3000,727593,761549,33956,7.27593,7.61549,0.33956,0.04051130472490384,0.03744965454319027,0.042283189562181585,0.00043498095650678633,0.013756018632388348,0.045394861486881544,0.00011318666666666665,4.58533954412945e-06,1.5131620495627181e-05
3,LZ77,200,861735,1162659,300924,8.61735,11.62659,3.00924,0.040162550688277295,0.0372936645958769,0.04688879395150648,0.00017123604581735863,0.12085875403319157,0.39883388830953215,0.015046200000000001,0.0006042937701659579,0.001994169441547661
4,Huffman,500,1262833,1427083,164250,12.62833,14.27083,1.6425,0.039683697048142744,0.037866129590776704,0.046079417277282146,0.00027398223330389485,0.06518047240157446,0.2150955589251957,0.003285,0.0001303609448031489,0.00043019111785039135
5,AES-128,100,1527532,1576869,49337,15.27532,15.76869,0.49337,0.03974950148709795,0.037970362410571196,0.0478091898904502,0.00018747505763092625,0.019611211548689514,0.0647169981106754,0.0049337,0.00019611211548689513,0.000647169981106754
6,SHA-256,500,1677086,1738169,61083,16.77086,17.38169,0.61083,0.04035373893345949,0.03739764648829603,0.04759232958957598,0.00037445263462800076,0.02464927435272506,0.0813426053639927,0.00122166,4.9298548705450117e-05,0.0001626852107279854
7,ChaCha20,3000,1838270,2185922,347652,18.3827,21.85922,3.47652,0.03991496458832117,0.037501674003874316,0.048352139047921065,0.00015229236140222433,0.1387651726905903,0.457925069878948,0.00115884,4.62550575635301e-05,0.00015264168995964933
8,CRC32,3000,2286141,2501176,215035,22.86141,25.01176,2.15035,0.0404847090371807,0.03980182200586384,0.0435066574739263,0.00019157692056044254,0.0870562940781015,0.28728577045773496,0.0007167833333333333,2.90187646927005e-05,9.576192348591165e-05
9,FFT,20,2601300,2922966,321666,26.013,29.22966,3.21666,0.03740664236665944,0.03651525464093161,0.04840649669551199,0.0003241555834140459,0.12032445023513877,0.39707068577595794,0.160833,0.006016222511756939,0.019853534288797898
10,FIR,300,3023702,3067257,43555,30.23702,30.67257,0.43555,0.04031190135077714,0.03948686520010197,0.04732151084375345,0.0003252462767989214,0.017557848633330982,0.05794090048999224,0.0014518333333333334,5.852616211110328e-05,0.0001931363349666408
11,IIR,50,3167601,3264993,97392,31.67601,32.64993,0.97392,0.0376617882727216,0.03698199265757446,0.0478091898904502,0.0001930323288584965,0.03667956883456902,0.12104257715407776,0.0194784,0.0007335913766913804,0.0024208515430815553
12,DCT,1,3365221,5344809,1979588,33.65221,53.44809,19.79588,0.03753217943200596,0.036774439481168625,0.04661871658202029,0.00015547973578954017,0.7429825201744581,2.4518423165757115,19.79588,0.7429825201744581,2.4518423165757115
