sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536608,597250,60642,5.36608,5.9725,0.60642,0.06271087040504643,0.04260177340909657,0.06808471507062776,0.0013795556627717845,0.03802912603102825,0.12549611590239323,0.00020213999999999999,1.2676375343676084e-05,4.183203863413108e-05
2,Delta,3000,697430,715567,18137,6.9743,7.15567,0.18137,0.06557620589482287,0.05316549018406724,0.07107347579007697,0.00129003633004213,0.011893556463144024,0.03924873632837528,6.045666666666667e-05,3.9645188210480084e-06,1.3082912109458426e-05
3,LZ77,200,815721,1120909,305188,8.15721,11.20909,3.05188,0.06041504313720747,0.04497737762217515,0.0665909491786703,0.0013800889981166165,0.18437946184958073,0.6084522241036164,0.015259400000000001,0.0009218973092479036,0.003042261120518082
4,Huffman,200,1221068,1272384,51316,12.21068,12.72384,0.51316,0.060991103083875765,0.04572123943496546,0.06957889060776333,0.0016487103009734426,0.03129819445852169,0.10328404171312157,0.0025657999999999996,0.00015649097229260845,0.0005164202085656079
5,AES-128,1000,1372750,1687820,315070,13.7275,16.8782,3.1507,0.0617891402615827,0.04348996123047813,0.06808471507062776,0.0013675672041962635,0.1946790442221686,0.6424408459331564,0.0031507,0.0001946790442221686,0.0006424408459331564
6,SHA-256,1000,1788012,1859398,71386,17.88012,18.59398,0.71386,0.06321622191936668,0.04497737762217515,0.06957889060776333,0.001355388768062922,0.0451275321793591,0.14892085619188503,0.0007138600000000001,4.51275321793591e-05,0.00014892085619188503
7,ChaCha20,3000,1959513,2073169,113656,19.59513,20.73169,1.13656,0.06457696767583501,0.04348996123047813,0.07107347579007697,0.0012847093880964948,0.07339559838164704,0.2422054746594352,0.00037885333333333333,2.4465199460549013e-05,8.073515821981173e-05
8,CRC32,3000,2173376,2304217,130841,21.73376,23.04217,1.30841,0.06154213100386099,0.05018656094889225,0.0665909491786703,0.0013512770370161817,0.08052233962676177,0.2657237207683138,0.0004361366666666667,2.6840779875587256e-05,8.857457358943793e-05
9,FFT,50,2404356,2726128,321772,24.04356,27.26128,3.21772,0.05806166572463107,0.04200295448395919,0.06509759293189092,0.0013438437023165597,0.18682618303545986,0.6165264040170175,0.06435439999999999,0.0037365236607091973,0.012330528080340351
10,FIR,300,2826459,2852864,26405,28.26459,28.52864,0.26405,0.06159446897904256,0.04497737762217515,0.0665909491786703,0.0013682029548300375,0.01626401953391619,0.053671264461923426,0.0008801666666666667,5.42133984463873e-05,0.0001789042148730781
11,IIR,50,2953098,3017267,64169,29.53098,30.17267,0.64169,0.057364114748911565,0.04497737762217515,0.06285832664643078,0.001336245182802245,0.03680997879322906,0.12147293001765588,0.0128338,0.0007361995758645812,0.0024294586003531177
12,DCT,1,3117459,3544443,426984,31.17459,35.44443,4.26984,0.06038785966590623,0.04423361822067938,0.0665909491786703,0.001368200673643569,0.25784649871587306,0.850893445762381,4.26984,0.25784649871587306,0.850893445762381
