raw_path,capture_directory,board,physical_board_id,role,selected_campaigns,analysis_status,failure_type,bytes,frames,sha256,recorded_sha256,recorded_hash_matches
captures/esp32/20260910T105536.157071Z_esp32_010/transport.raw4,captures/esp32/20260910T105536.157071Z_esp32_010,esp32,ESP32-D0WD-V3-01,selected_final,2026-09-10_ppk2_energy_profiling_v3,structural_protocol_pass,,15380480,3845120,2f79c68ade6d6a13516f73ba113d27f6704c16c56358b28cd301e3b4870a9f96,2f79c68ade6d6a13516f73ba113d27f6704c16c56358b28cd301e3b4870a9f96,true
captures/rp2040/20260910T110107.367979Z_rp2040_001/transport.raw4,captures/rp2040/20260910T110107.367979Z_rp2040_001,rp2040,RPI-PICO-RP2040-01,pilot,,structural_protocol_pass,,30035968,7508992,b12372cc58022578b6368ec2babb2f1726f476a12590499a3211846e19b7fff4,b12372cc58022578b6368ec2babb2f1726f476a12590499a3211846e19b7fff4,true
captures/rp2040/20260910T110338.807055Z_rp2040_001/transport.raw4,captures/rp2040/20260910T110338.807055Z_rp2040_001,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,30027776,7506944,03f05606bcbd86cf44996b018b9274e1c061f8b2b3029a30f7fa3e19cba78302,03f05606bcbd86cf44996b018b9274e1c061f8b2b3029a30f7fa3e19cba78302,true
captures/rp2040/20260910T110559.986606Z_rp2040_002/transport.raw4,captures/rp2040/20260910T110559.986606Z_rp2040_002,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29970432,7492608,45529e10ea6f3ae4c702592daff45d6080f8ad4e025196da1fe2eb66b665fbdd,45529e10ea6f3ae4c702592daff45d6080f8ad4e025196da1fe2eb66b665fbdd,true
captures/rp2040/20260910T110831.606849Z_rp2040_003/transport.raw4,captures/rp2040/20260910T110831.606849Z_rp2040_003,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29970432,7492608,d1900c04cc6054ffe5dba690115094384bc55f01f2a4660ff54674d0e6dc103a,d1900c04cc6054ffe5dba690115094384bc55f01f2a4660ff54674d0e6dc103a,true
captures/rp2040/20260910T111100.926278Z_rp2040_004/transport.raw4,captures/rp2040/20260910T111100.926278Z_rp2040_004,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29972480,7493120,3299ba090890c65ef842cb8d8534cc0876311b6672ddc39a8e7eb16331d1a0d7,3299ba090890c65ef842cb8d8534cc0876311b6672ddc39a8e7eb16331d1a0d7,true
captures/rp2040/20260910T111329.207480Z_rp2040_005/transport.raw4,captures/rp2040/20260910T111329.207480Z_rp2040_005,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29968384,7492096,bcc728948cd2364ba7ae2d8c6ac1479c77d5672f200ea605cdbaab07ee8e0765,bcc728948cd2364ba7ae2d8c6ac1479c77d5672f200ea605cdbaab07ee8e0765,true
captures/rp2040/20260910T111555.764689Z_rp2040_006/transport.raw4,captures/rp2040/20260910T111555.764689Z_rp2040_006,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29970432,7492608,bc7b4f4d33b8afa64d477735841fe37a078754b173eeac26e2e53dd7f0602785,bc7b4f4d33b8afa64d477735841fe37a078754b173eeac26e2e53dd7f0602785,true
captures/rp2040/20260910T111823.107058Z_rp2040_007/transport.raw4,captures/rp2040/20260910T111823.107058Z_rp2040_007,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29972480,7493120,378edb912d4072d77996ccce2657668ad2649ff1be9125ee1036b018eb8987ec,378edb912d4072d77996ccce2657668ad2649ff1be9125ee1036b018eb8987ec,true
captures/rp2040/20260910T112049.352712Z_rp2040_008/transport.raw4,captures/rp2040/20260910T112049.352712Z_rp2040_008,rp2040,RPI-PICO-RP2040-01,selected_final,2026-09-10_ppk2_energy_profiling_v3;2026-09-10_ppk2_energy_profiling_v3_esp32_noreg,structural_protocol_pass,,29970432,7492608,112d18ace377c9e73718f9d4aa7105e9fc2b59de9fb7f3e4a1acf9b814f566e5,112d18ace377c9e73718f9d4aa7105e9fc2b59de9fb7f3e4a1acf9b814f566e5,true
