sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519165,670062,150897,5.19165,6.70062,1.50897,0.02521130530714822,0.014683297128344134,0.028521898086244956,0.00043529208642408056,0.038043103369327445,0.12554224111878057,0.0005029899999999999,1.2681034456442481e-05,4.184741370626019e-05
2,Delta,3000,768860,829790,60930,7.6886,8.2979,0.6093,0.03146705276585178,0.01585575365505564,0.042283189562181585,0.000355886139865256,0.01917287525023349,0.06327048832577051,0.00020309999999999998,6.3909584167444965e-06,2.1090162775256835e-05
3,LZ77,200,928530,1567615,639085,9.2853,15.67615,6.39085,0.02454288833698098,0.020761461511400767,0.028672002646026852,0.0006975733168848791,0.1568499179283949,0.5176047291637031,0.031954250000000003,0.0007842495896419745,0.002588023645818516
4,Huffman,100,1666351,1725352,59001,16.66351,17.25352,0.59001,0.027198575732561677,0.013983244949254148,0.04862404134377361,0.00645074408679885,0.016047431667968716,0.05295652450429676,0.0059001,0.00016047431667968716,0.0005295652450429676
5,AES-128,100,1824438,1904188,79750,18.24438,19.04188,0.7975,0.028605666029214206,0.022504615135594663,0.03373422778950682,0.00037296349928497906,0.02281301865829833,0.07528296157238448,0.007975,0.0002281301865829833,0.0007528296157238448
6,SHA-256,500,2002950,2071931,68981,20.0295,20.71931,0.68981,0.028320044140331724,0.01912872264506739,0.0349661336391491,0.001458448638332699,0.019535449648442227,0.06446698383985934,0.00137962,3.9070899296884455e-05,0.00012893396767971868
7,ChaCha20,3000,2170527,2819471,648944,21.70527,28.19471,6.48944,0.02763871923679194,0.013610933119733475,0.031188857980529693,0.00022141873451729893,0.1793598101640071,0.5918873735412233,0.0021631466666666667,5.9786603388002364e-05,0.00019729579118040778
8,CRC32,3000,2918193,3245310,327117,29.18193,32.4531,3.27117,0.0230033637247183,0.013843542469760474,0.02426255066335602,0.0001333578617076163,0.07524791331538677,0.24831811394077632,0.0010903900000000001,2.5082637771795592e-05,8.277270464692544e-05
9,FFT,20,3343925,3625005,281080,33.43925,36.25005,2.8108,0.02759113494471408,0.02090615972682233,0.034041588339268736,0.0019918878636994747,0.07755316210260234,0.2559254349385877,0.14054,0.003877658105130117,0.012796271746929386
10,FIR,300,3724167,3800445,76278,37.24167,38.00445,0.76278,0.021524042320836902,0.014356286749321361,0.023968534887648052,0.00016160268658884887,0.016418109001487973,0.05417975970491031,0.0025426,5.472703000495991e-05,0.0001805991990163677
11,IIR,50,3899277,4032250,132973,38.99277,40.3225,1.32973,0.029865744221410858,0.025196309494839638,0.03342727784817732,0.0005589708037207871,0.039713376063536664,0.13105414100967097,0.026594600000000003,0.0007942675212707333,0.0026210828201934195
12,DCT,1,4131060,4878460,747400,41.3106,48.7846,7.474,0.02956372265239619,0.02235878774698391,0.03388785673833373,0.0004534139261756878,0.22095926310400912,0.7291655682432301,7.474,0.22095926310400912,0.7291655682432301
