sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536528,627504,90976,5.36528,6.27504,0.90976,0.0412550432227098,0.03266169940674546,0.042124051616886225,0.0002369048071191552,0.03753218812229247,0.12385622080356513,0.00030325333333333334,1.251072937409749e-05,4.128540693452171e-05
2,Delta,3000,727620,754829,27209,7.2762,7.54829,0.27209,0.04225798989601631,0.03599774039469181,0.04308041907027988,0.00022306699129647894,0.011497976470807079,0.03794332235366336,9.069666666666667e-05,3.83265882360236e-06,1.2647774117887786e-05
3,LZ77,200,854909,1312771,457862,8.54909,13.12771,4.57862,0.03990380812025993,0.03347840765725776,0.04096017661024594,0.0002545419330442909,0.18270437393558453,0.6029244339874289,0.0228931,0.0009135218696779226,0.0030146221699371444
4,Huffman,200,1412860,1489841,76981,14.1286,14.89841,0.76981,0.039959141007644604,0.03337615944488667,0.042920767864444,0.0005887545056625501,0.030760946339094892,0.10151112291901314,0.00384905,0.00015380473169547445,0.0005075556145950657
5,AES-128,1000,1590222,2062916,472694,15.90222,20.62916,4.72694,0.04062520968704311,0.03306968854672834,0.04217708619286156,0.00022557078452589468,0.19203292867807156,0.6337086646376361,0.00472694,0.00019203292867807156,0.0006337086646376361
6,SHA-256,1000,2163043,2270136,107093,21.63043,22.70136,1.07093,0.041386457178412564,0.03327395685567474,0.042283189562181585,0.00023271116682451902,0.04432199858607736,0.14626259533405528,0.0010709299999999999,4.4321998586077365e-05,0.00014626259533405528
7,ChaCha20,3000,2370152,2540662,170510,23.70152,25.40662,1.7051,0.04228799577591478,0.03255981617964764,0.04329344702578477,0.0002350082444831845,0.0721052615975123,0.23794736327179056,0.0005683666666666667,2.4035087199170766e-05,7.931578775726352e-05
8,CRC32,3000,2640806,2837104,196298,26.40806,28.37104,1.96298,0.040553860238854204,0.03517209000498436,0.041435640056077895,0.00020847590100703248,0.07960641657166602,0.26270117468649784,0.0006543266666666666,2.653547219055534e-05,8.756705822883261e-05
9,FFT,50,2937148,3419903,482755,29.37148,34.19903,4.82755,0.038205555077004544,0.03230530771322441,0.04080189409918481,0.00032912999949403566,0.18443922741199326,0.6086494504595777,0.096551,0.003688784548239865,0.012172989009191554
10,FIR,300,3520244,3559857,39613,35.20244,35.59857,0.39613,0.04017110873651358,0.03312073851528025,0.04101296025884587,0.0002275028573159941,0.015912981303795124,0.05251283830252391,0.0013204333333333334,5.304327101265041e-05,0.00017504279434174636
11,IIR,50,3660055,3756321,96266,36.60055,37.56321,0.96266,0.03753990212426997,0.032865602730418574,0.0383877499213408,0.00020916698467589217,0.036138162178949725,0.11925593519053408,0.019253199999999998,0.0007227632435789945,0.0023851187038106815
12,DCT,1,3856461,4497050,640589,38.56461,44.9705,6.40589,0.03959650720560091,0.0320510843915459,0.0405910104321604,0.00021623371720695518,0.2536508695432868,0.8370478694928464,6.40589,0.2536508695432868,0.8370478694928464
