sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536586,627562,90976,5.36586,6.27562,0.90976,0.041205618472828436,0.03255981617964764,0.04217708619286156,0.00023691985057354916,0.0374872234618404,0.1237078374240733,0.00030325333333333334,1.24957411539468e-05,4.1235945808024436e-05
2,Delta,3000,727678,754887,27209,7.27678,7.54887,0.27209,0.04219917562968835,0.03532667704015361,0.043133658950471415,0.000223649441410727,0.011481973697081902,0.03789051320037028,9.069666666666667e-05,3.827324565693967e-06,1.2630171066790092e-05
3,LZ77,200,854967,1312829,457862,8.54967,13.12829,4.57862,0.039917797524001486,0.03414413310217437,0.04085464353041539,0.00025220420128094597,0.18276842609934368,0.6031358061278341,0.0228931,0.0009138421304967185,0.0030156790306391707
4,Huffman,200,1412917,1489899,76982,14.12917,14.89899,0.76982,0.04001034352357813,0.03306968854672834,0.042920767864444,0.0005884095491805433,0.030800762651320913,0.10164251674935901,0.0038491,0.00015400381325660455,0.000508212583746795
5,AES-128,1000,1590280,2062973,472693,15.9028,20.62973,4.72693,0.04066458471495608,0.03291660707581135,0.04223013217462668,0.00022567907492574725,0.19221864542666733,0.6343215299080022,0.004726930000000001,0.00019221864542666732,0.0006343215299080022
6,SHA-256,1000,2163100,2270193,107093,21.631,22.70193,1.07093,0.04143547100173047,0.03327395685567474,0.04233625835552626,0.00023329560919808123,0.04437448895988321,0.1464358135676146,0.0010709299999999999,4.437448895988321e-05,0.00014643581356761458
7,ChaCha20,3000,2370210,2540719,170509,23.7021,25.40719,1.70509,0.04231718411125826,0.032407076882424335,0.04324017292822386,0.00023445967977659026,0.07215460745626534,0.2381102046056756,0.0005683633333333334,2.4051535818755112e-05,7.937006820189187e-05
8,CRC32,3000,2640863,2837161,196298,26.40863,28.37161,1.96298,0.040563337056231524,0.03465754126408988,0.04148852635678596,0.00020892602786929152,0.07962501937464135,0.2627625639363164,0.0006543266666666666,2.654167312488045e-05,8.758752131210548e-05
9,FFT,50,2937206,3419961,482755,29.37206,34.19961,4.82755,0.03823220983297456,0.03271265812897906,0.040907404367435764,0.0003287353124684581,0.18456790457917632,0.6090740851112818,0.096551,0.0036913580915835264,0.012181481702225636
10,FIR,300,3520301,3559914,39613,35.20301,35.59914,0.39613,0.040208952797731706,0.03296762282699389,0.04101296025884587,0.00022785023722495632,0.01592797247176546,0.05256230915682601,0.0013204333333333334,5.309324157255153e-05,0.00017520769718942005
11,IIR,50,3660113,3756379,96266,36.60113,37.56379,0.96266,0.03757110844878702,0.03291660707581135,0.0383877499213408,0.00020938319852463412,0.03616820325930931,0.11935507075572073,0.019253199999999998,0.0007233640651861863,0.0023871014151144146
12,DCT,1,3856518,4497107,640589,38.56518,44.97107,6.40589,0.0396199036473208,0.03230530771322441,0.04053831802987876,0.00021617956501187173,0.25380074457533586,0.8375424570986083,6.40589,0.25380074457533586,0.8375424570986083
