sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528382,610689,82307,5.28382,6.10689,0.82307,0.03981261426045181,0.037189728326616926,0.0478091898904502,0.00017901062633212246,0.032768568419350066,0.1081362757838552,0.00027435666666666665,1.0922856139783355e-05,3.604542526128507e-05
2,Delta,3000,710914,744870,33956,7.10914,7.4487,0.33956,0.0405933432344506,0.0372936645958769,0.04238933855466076,0.0004236789979321285,0.013783875628690045,0.045486789574677146,0.00011318666666666665,4.594625209563348e-06,1.5162263191559048e-05
3,LZ77,200,845055,1145976,300921,8.45055,11.45976,3.00921,0.04022050135488828,0.037501674003874316,0.04661871658202029,0.00016760864200834208,0.12103193488214335,0.39940538511107304,0.01504605,0.0006051596744107168,0.0019970269255553653
4,Huffman,500,1246148,1410396,164248,12.46148,14.10396,1.64248,0.0398379168255916,0.037189728326616926,0.04678072878634264,0.00030345727445626986,0.0654329816276977,0.2159288393714024,0.00328496,0.0001308659632553954,0.0004318576787428048
5,AES-128,100,1510844,1560181,49337,15.10844,15.60181,0.49337,0.039884255623366255,0.0372936645958769,0.047971954876898676,0.00018551515217670798,0.019677695196900206,0.06493639414977068,0.0049337,0.00019677695196900207,0.0006493639414977068
6,SHA-256,500,1660397,1721479,61082,16.60397,17.21479,0.61082,0.04050001266868399,0.03938197084449966,0.04759232958957598,0.0003690489913427713,0.024738217738285558,0.08163611853634234,0.00122164,4.9476435476571116e-05,0.00016327223707268468
7,ChaCha20,3000,1821579,2169227,347648,18.21579,21.69227,3.47648,0.040051595621809634,0.03812679718368637,0.04889622878437089,0.0001531406808342312,0.13923857114730875,0.4594872847861189,0.0011588266666666667,4.641285704910292e-05,0.00015316242826203964
8,CRC32,3000,2269445,2484478,215033,22.69445,24.84478,2.15033,0.0403760699494684,0.0372936645958769,0.04436132419285874,0.00018246369042031457,0.08682187449444038,0.2865121858316533,0.0007167766666666667,2.894062483148013e-05,9.550406194388443e-05
9,FFT,20,2584602,2906264,321662,25.84602,29.06264,3.21662,0.03753492886151854,0.03667073132770446,0.04829779280611993,0.00034081305299911007,0.12073560287453776,0.39842748948597456,0.160831,0.006036780143726888,0.019921374474298727
10,FIR,300,3007000,3050555,43555,30.07,30.50555,0.43555,0.04029243164211802,0.039119934556815214,0.04753814302883189,0.0001863921832002795,0.017549368601724503,0.057912916385690856,0.0014518333333333334,5.8497895339081676e-05,0.00019304305461896953
11,IIR,50,3150898,3248289,97391,31.50898,32.48289,0.97391,0.03776406265467995,0.037189728326616926,0.048080521896813264,0.0001817232828274689,0.036778798260019355,0.12137003425806386,0.0194782,0.0007355759652003871,0.0024274006851612772
12,DCT,1,3348516,5328082,1979566,33.48516,53.28082,19.79566,0.0375816655963119,0.036878193257791965,0.04699690473982948,0.0001476037087777676,0.7439538743782877,2.4550477854483495,19.79566,0.7439538743782877,2.4550477854483495
