sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,549397,610039,60642,5.49397,6.10039,0.60642,0.06274672297712403,0.04233625835552626,0.06957889060776333,0.0013676040760387384,0.03805086774778755,0.12556786356769892,0.00020213999999999999,1.268362258259585e-05,4.1855954522566305e-05
2,Delta,3000,710219,728357,18138,7.10219,7.28357,0.18138,0.06559873645592487,0.04944208466833481,0.07107347579007697,0.0012847776468006146,0.011898298818375654,0.039264386100639655,6.046000000000001e-05,3.966099606125218e-06,1.3088128700213219e-05
3,LZ77,200,828510,1133699,305189,8.2851,11.33699,3.05189,0.06063627099095217,0.04720927029442963,0.0665909491786703,0.0013843178500239984,0.18505522907457703,0.6106822559461041,0.01525945,0.0009252761453728851,0.0030534112797305207
4,Huffman,200,1233858,1285174,51316,12.33858,12.85174,0.51316,0.060968529181261916,0.04348996123047813,0.06808471507062776,0.001658443501471369,0.03128661043465636,0.10324581443436598,0.0025657999999999996,0.0001564330521732818,0.0005162290721718299
5,AES-128,1000,1385539,1700609,315070,13.85539,17.00609,3.1507,0.06191472480405821,0.04200295448395919,0.06808471507062776,0.0013661382488084348,0.1950747234401462,0.6437465873524825,0.0031507,0.0001950747234401462,0.0006437465873524825
6,SHA-256,1000,1800801,1872187,71386,18.00801,18.72187,0.71386,0.063400049659098,0.04423361822067938,0.06808471507062776,0.0013556172423804763,0.0452587594496437,0.14935390618382421,0.0007138600000000001,4.52587594496437e-05,0.0001493539061838242
7,ChaCha20,3000,1972302,2085958,113656,19.72302,20.85958,1.13656,0.0646426873646139,0.04200295448395919,0.06957889060776333,0.0012798636029077396,0.07347029275112557,0.24245196607871436,0.00037885333333333333,2.4490097583708523e-05,8.081732202623812e-05
8,CRC32,3000,2186165,2317006,130841,21.86165,23.17006,1.30841,0.06187589485554001,0.05093113964074421,0.06808471507062776,0.001355538458002369,0.08095903958793711,0.2671648306401925,0.0004361366666666667,2.698634652931237e-05,8.905494354673082e-05
9,FFT,50,2417145,2738917,321772,24.17145,27.38917,3.21772,0.05825435691160655,0.04274640665157139,0.06509759293189092,0.0013387437374349307,0.18744620932161463,0.6185724907613283,0.06435439999999999,0.0037489241864322926,0.012371449815226565
10,FIR,300,2839249,2865653,26404,28.39249,28.65653,0.26404,0.06173480251059811,0.04200295448395919,0.06808471507062776,0.0013656196733205848,0.016300457254898326,0.053791508941164475,0.0008801333333333333,5.4334857516327754e-05,0.00017930502980388158
11,IIR,50,2965887,3030056,64169,29.65887,30.30056,0.64169,0.057397072633936785,0.04423361822067938,0.06211210937386643,0.001326375398010271,0.0368311275384709,0.12154272087695396,0.0128338,0.000736622550769418,0.0024308544175390794
12,DCT,1,3130249,3557232,426983,31.30249,35.57232,4.26983,0.060456085637710856,0.04348996123047813,0.06584421984963336,0.0013737873844817637,0.2581372081384669,0.8518527868569408,4.26983,0.2581372081384669,0.8518527868569408
