sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528047,651815,123768,5.28047,6.51815,1.23768,0.030067053147077985,0.029223264277707585,0.04148852635678596,0.00018684119364487532,0.037213390339075475,0.12280418811894907,0.00041255999999999997,1.2404463446358492e-05,4.093472937298302e-05
2,Delta,3000,752210,803270,51060,7.5221,8.0327,0.5106,0.029072752325570203,0.028271951935737605,0.03225444023730912,0.00038375914908040986,0.014844547337436148,0.04898700621353928,0.00017020000000000002,4.94818244581205e-06,1.632900207117976e-05
3,LZ77,200,903608,1356123,452515,9.03608,13.56123,4.52515,0.028816102587524022,0.027424267906703277,0.037501674003874316,0.00014946649280973847,0.13039718662393432,0.43031071585898323,0.02262575,0.0006519859331196716,0.0021515535792949163
4,Huffman,500,1456440,1703423,246983,14.5644,17.03423,2.46983,0.028471138645585578,0.02707617962814913,0.03755370487034814,0.0002452868941766197,0.07031887236102663,0.23205227879138787,0.00493966,0.00014063774472205325,0.00046410455758277575
5,AES-128,100,1804136,1878319,74183,18.04136,18.78319,0.74183,0.028598692507979456,0.027822767429581122,0.04048563703338692,0.00018385948221432392,0.0212153680631944,0.07001071460854151,0.0074183,0.000212153680631944,0.0007001071460854151
6,SHA-256,500,1978686,2070532,91846,19.78686,20.70532,0.91846,0.027376339110406954,0.026431212720649782,0.03812679718368637,0.0003613354005710841,0.02514407241934437,0.08297543898383643,0.0018369200000000001,5.028814483868874e-05,0.00016595087796767284
7,ChaCha20,3000,2170742,2693520,522778,21.70742,26.9352,5.22778,0.027126818315892223,0.02633215812941981,0.039329540775383184,0.00015728146514476578,0.14181303825545505,0.46798302624300164,0.0017425933333333333,4.727101275181835e-05,0.00015599434208100055
8,CRC32,3000,2793887,3117247,323360,27.93887,31.17247,3.2336,0.030342339118571985,0.02892240502812579,0.03656706879739943,0.00017140932867076346,0.09811498777381437,0.3237794596535874,0.0010778666666666668,3.270499592460479e-05,0.0001079264865511958
9,FFT,20,3217475,3701170,483695,32.17475,37.0117,4.83695,0.028664638099093007,0.027822767429581122,0.04217708619286156,0.00026839443197560246,0.13864942125340793,0.45754309013624617,0.2418475,0.006932471062670397,0.022877154506812308
10,FIR,300,3802322,3867816,65494,38.02322,38.67816,0.65494,0.028746724616623878,0.028122121114910668,0.03938197084449966,0.00016289339412234901,0.018827379820411643,0.06213035340735842,0.002183133333333333,6.275793273470548e-05,0.00020710117802452807
11,IIR,50,3968389,4114837,146448,39.68389,41.14837,1.46448,0.0272561512375675,0.02657988015091817,0.039959454386906935,0.0001857217770806437,0.03991608836439285,0.1317230916024964,0.0292896,0.000798321767287857,0.002634461832049928
12,DCT,1,4215238,7192049,2976811,42.15238,71.92049,29.76811,0.027160576624887675,0.026381679722139905,0.03807464085352486,0.0001525904628787568,0.808519032633085,2.6681128076891802,29.76811,0.808519032633085,2.6681128076891802
