sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536668,597309,60641,5.36668,5.97309,0.60641,0.0645220832244988,0.04720927029442963,0.0703261319932729,0.0012915851318267657,0.039126836488168316,0.12911856041095543,0.00020213666666666667,1.304227882938944e-05,4.3039520136985145e-05
2,Delta,3000,697490,715627,18137,6.9749,7.15627,0.18137,0.06714806773496804,0.052420604258331706,0.07182092199817557,0.0013398912471440287,0.012178645045091153,0.0401895286488008,6.045666666666667e-05,4.059548348363718e-06,1.3396509549600266e-05
3,LZ77,200,815780,1120969,305189,8.1578,11.20969,3.05189,0.06226830442779672,0.04720927029442963,0.06808471507062776,0.0013675139533860234,0.19003601560014854,0.6271188514804902,0.01525945,0.0009501800780007427,0.0031355942574024507
4,Huffman,200,1221128,1272444,51316,12.21128,12.72444,0.51316,0.06257961997151722,0.04646520365905028,0.07107347579007697,0.0016238909329351723,0.032113357784583775,0.10597408068912645,0.0025657999999999996,0.00016056678892291886,0.0005298704034456323
5,AES-128,1000,1372810,1687880,315070,13.7281,16.8788,3.1507,0.06343835545402837,0.04497737762217515,0.06957889060776333,0.0013388735586105816,0.1998752265290072,0.6595882475457236,0.0031507,0.0001998752265290072,0.0006595882475457236
6,SHA-256,1000,1788072,1859458,71386,17.88072,18.59458,0.71386,0.06479332166308578,0.04646520365905028,0.07107347579007697,0.0012805238398347477,0.04625336060241042,0.1526360899879544,0.0007138600000000001,4.625336060241042e-05,0.0001526360899879544
7,ChaCha20,3000,1959573,2073229,113656,19.59573,20.73229,1.13656,0.0661459873720388,0.04497737762217515,0.07256847061756873,0.0013219113237337339,0.07517888340756443,0.2480903152449626,0.00037885333333333333,2.5059627802521475e-05,8.269677174832087e-05
8,CRC32,3000,2173436,2304277,130841,21.73436,23.04277,1.30841,0.06324179440154584,0.053910478521097295,0.06883175163354828,0.0013384597039056171,0.0827461962129266,0.2730624475026578,0.0004361366666666667,2.7582065404308866e-05,9.102081583421927e-05
9,FFT,50,2404416,2726188,321772,24.04416,27.26188,3.21772,0.05977622818872049,0.04423361822067938,0.06733778091900176,0.0013895396703251727,0.1923431649674097,0.6347324443924519,0.06435439999999999,0.0038468632993481936,0.012694648887849038
10,FIR,300,2826520,2852924,26404,28.2652,28.52924,0.26404,0.06329848835203633,0.04646520365905028,0.06808471507062776,0.001346045472506734,0.016713332864471672,0.055153998452756516,0.0008801333333333333,5.5711109548238904e-05,0.0001838466615091884
11,IIR,50,2953158,3017327,64169,29.53158,30.17327,0.64169,0.058907759819958876,0.04497737762217515,0.06509759293189092,0.0012899196376423994,0.03780052039886941,0.12474171731626904,0.0128338,0.0007560104079773881,0.0024948343463253807
12,DCT,1,3117520,3544504,426984,31.1752,35.44504,4.26984,0.062018489335676455,0.04423361822067938,0.06808471507062776,0.0013552336213502613,0.2648090265050448,0.8738697874666478,4.26984,0.2648090265050448,0.8738697874666478
