board,sequence_position,algorithm,captures,iterations_per_capture,duration_per_call_us_mean,duration_per_call_us_sd,mean_current_mA_mean,mean_current_mA_sd,charge_per_call_uC_mean,charge_per_call_uC_sd,energy_per_call_mJ_mean,energy_per_call_mJ_sd,energy_voltage_component_mJ
esp32,1,RLE,10,3000,202.139,0.0016101529717892642,62.75486647688011,0.0887971811484255,12.685205969317849,0.017961163460195117,0.0418611796987489,5.927183941864511e-05,0.00012685205969317848
esp32,2,Delta,10,3000,60.45866666666667,0.0017213259316515152,65.6514826168961,0.11029056544737172,3.969201140692847,0.0066935134085498536,0.013098363764286393,2.2088594248214488e-05,3.969201140692846e-05
esp32,3,LZ77,10,200,15259.435000000001,0.02415229457683896,60.66863256101588,0.1377998570767359,925.76905540493,2.1028941453730043,3.0550378828362685,0.006939550679730805,0.0092576905540493
esp32,4,Huffman,10,200,2565.8049999999994,0.01581138830102228,61.00933946032035,0.15136791379934822,156.53806797580205,0.3882654453276505,0.5165756243201468,0.001281275969581229,0.0015653806797580208
esp32,5,AES-128,10,1000,3150.7000000000003,0.0,61.89170029543005,0.10977313015405168,195.00218012081143,0.3458622011763713,0.6435071943986778,0.0011413452638820206,0.001950021801208115
esp32,6,SHA-256,10,1000,713.8570000000001,0.004830458915420164,63.33229725075024,0.10139061198561457,45.21020386065436,0.07247737172771299,0.14919367274015935,0.0002391753267014493,0.00045210203860654354
esp32,7,ChaCha20,10,3000,378.85366666666664,0.0010540925534003424,64.61875692040422,0.09015069363669874,24.481053040707632,0.034190629573574285,0.08078747503433518,0.00011282907759279368,0.00024481053040707637
esp32,8,CRC32,10,3000,436.13699999999994,0.001054092553366057,61.76021890518141,0.165225339890052,26.93591664959059,0.07208456936832368,0.08888852494364893,0.0002378790789154721,0.0002693591664959058
esp32,9,FFT,10,50,64354.42,0.06324555320518625,58.15423733321575,0.07276440043546534,3742.4822137816464,4.6824091065293825,12.35019130547943,0.015451950051546858,0.03742482213781646
esp32,10,FIR,10,300,880.1433333333334,0.016101529717997384,61.659090647940616,0.1228781166915359,54.268837770416475,0.1082651980223771,0.17908716464237437,0.00035727515347384995,0.0005426883777041648
esp32,11,IIR,10,50,12833.82,0.06324555320408912,57.31164146148145,0.0820788903130298,735.5272885721041,1.0519570426336606,2.427240052287943,0.0034714582406910597,0.00735527288572104
esp32,12,DCT,10,1,4269840.0,6.666666666710341,60.36287332668068,0.07656663371323023,257739.81082386622,326.7338245126243,850.5413757187584,1.0782216208916744,2.577398108238662
rp2040,1,RLE,10,3000,274.3573333333333,0.0014054567378671233,39.76168220726261,0.0747105723193776,10.908909038069138,0.020461304134340153,0.03599939982562815,6.75223036433221e-05,0.00010908909038069137
rp2040,2,Delta,10,3000,113.18566666666666,0.0016101529717892642,40.57458996219934,0.04481757232176856,4.592461970627215,0.005028697725942993,0.01515512450306981,1.659470249561249e-05,4.5924619706272154e-05
rp2040,3,LZ77,10,200,15046.085000000001,0.0625832778523733,40.19955732620786,0.06003646421012328,604.8459550829255,0.9022681016909117,1.995991651773654,0.0029774847355801513,0.006048459550829255
rp2040,4,Huffman,10,500,3284.978,0.01475729574750847,39.786715343479365,0.059630130440654405,130.6984841637674,0.19556449325466968,0.43130499774043246,0.0006453628277404077,0.0013069848416376742
rp2040,5,AES-128,10,100,4933.7,0.047140452079027645,39.83754810224178,0.053011749661114486,196.54651086466728,0.26137726926088706,0.648603485853402,0.0008625449885609267,0.001965465108646673
rp2040,6,SHA-256,10,500,1221.6480000000001,0.010327955589937085,40.44014222925353,0.04742129936669824,49.403618587101626,0.05766132645254488,0.16303194133743537,0.00019028237729340003,0.0004940361858710163
rp2040,7,ChaCha20,10,3000,1158.8306666666665,0.005163977794912555,40.01121164554051,0.04871889655763582,46.36621889029005,0.05629756689755875,0.15300852233795717,0.0001857819707619428,0.0004636621889029006
rp2040,8,CRC32,10,3000,716.7796666666667,0.0029186501192190436,40.44931613864965,0.06775193498933862,28.99324737942089,0.04859017396836451,0.09567771635208894,0.00016034757409560604,0.0002899324737942089
rp2040,9,FFT,10,20,160832.1,0.8096638534396453,37.51513165506606,0.05187790786722431,6033.637386286685,8.327963710061475,19.911003374746056,0.027482280243203008,0.06033637386286684
rp2040,10,FIR,10,300,1451.8266666666666,0.014054567378625519,40.34759564931011,0.08511812450852715,58.57771537992061,0.1236209101444895,0.193306460753738,0.00040794900347681,0.0005857771537992061
rp2040,11,IIR,10,50,19478.24,0.1264911064067154,37.765398419039684,0.060567484046833986,735.6034924607907,1.1786270245213968,2.4274915251206095,0.003889469180920499,0.0073560349246079085
rp2040,12,DCT,10,1,19795730.0,74.83314773496681,37.56729970531602,0.03338265379601164,743672.1208201569,659.6197645062525,2454.1179987065175,2.1767452228706388,7.436721208201569
stm32,1,RLE,10,3000,279.39033333333333,0.08136869298159478,44.90894253737772,0.14463771931539018,12.547125768650897,0.04102949256231297,0.041405515036547956,0.00013539732545563064,0.00012547125768650898
stm32,2,Delta,10,3000,112.81233333333334,0.05060254226766082,56.731485670317106,0.1653099477824063,6.400012638338101,0.019380140858065095,0.02112004170651573,6.395446483161462e-05,6.400012638338101e-05
stm32,3,LZ77,10,200,17751.635,5.074776951858433,38.07896731524111,0.047871385017532304,675.9638207205951,0.7727108915072181,2.230680608377964,0.0025499459419738735,0.006759638207205951
stm32,4,Huffman,10,100,3277.8800000000006,1.0788883167410281,44.12086405503751,0.03982022265621057,144.62289363777546,0.1339702304319462,0.47725554900465905,0.0004421017604254421,0.0014462289363777548
stm32,5,AES-128,10,100,4547.32,1.841376296867887,46.10511382992982,0.06260940662908633,209.6546413010606,0.2408721888154554,0.6918603162935,0.000794878223091019,0.002096546413010606
stm32,6,SHA-256,10,500,773.372,0.30099095593649816,44.34772354718261,0.07176205525139004,34.29727114609577,0.04472958200634066,0.11318099478211605,0.00014760762062092277,0.00034297271146095773
stm32,7,ChaCha20,10,3000,1202.421,0.38188955161098276,49.38563879284865,0.16071134625162634,59.38231712146272,0.1900351158082183,0.19596164650082698,0.0006271158821671123,0.0005938231712146273
stm32,8,CRC32,10,3000,605.9256666666668,0.29556829546475855,43.07277003889089,0.10715878705154633,26.09888916747078,0.06269039813539812,0.08612633425265356,0.00020687831384681455,0.00026098889167470773
stm32,9,FFT,10,20,85923.15000000001,32.48422694170493,47.461863604811676,0.11333353450828511,4078.072168164672,9.551241589943457,13.457638154943417,0.03151909724681419,0.04078072168164672
stm32,10,FIR,10,300,1412.8966666666665,0.3976629256909898,38.63026407972749,0.22409740883130336,54.580558540309326,0.3145543002317931,0.1801158431830208,0.00103802919076492,0.0005458055854030933
stm32,11,IIR,10,50,16545.440000000002,6.325117478048968,50.14992870948722,0.0891735071244526,829.7526723549066,1.5307112438620567,2.7381838187711915,0.00505134710474476,0.008297526723549064
stm32,12,DCT,10,1,4210554.0,1108.8853262023167,50.37488745398808,0.08422152302853245,212106.1890243924,362.36154846744705,699.9504237804949,1.1957931099425623,2.1210618902439236
