board,experiment_id,experiment_manifest_sha256,physical_board_id,capture_directory,started_utc,ended_utc,sample_count,sample_time_error_percent,transport_sha256,csv_sha256,expected_firmware_sha256,capture_tool_sha256,analyzer_sha256
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T151731.457588Z_rp2040_001,2026-09-11T15:17:31.540Z,2026-09-11T15:18:28.080Z,5645824,-0.014244075484003582,d0cb566b89bed14dfc577cd4d2ebe3170a7734a6a20718cdca90b32ca856ba26,15c8b70b022cf9052758e0c3945eb3bb4a9d841179625786c9249a483c7b573b,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T151917.857636Z_rp2040_002,2026-09-11T15:19:17.866Z,2026-09-11T15:20:14.232Z,5628928,-0.00023485764031122883,755ef4ca1f87a047023947becc51978da98fa5a5923fe1ae37217a1d83a7ebd3,d8d49bc89a05828938d3c70921478ef06c83982bfa282e4971b37ad603ef0f34,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152103.384952Z_rp2040_003,2026-09-11T15:21:03.397Z,2026-09-11T15:21:59.760Z,5628928,7.763471161429734e-05,de231d47ecb9b975904f8d0d4ceb9d53db79d739267b2d1e83d5e43f38936a63,c1e27a5040edbbd26aa1da06b919f6ace8641d01d40896e5b97a4dc346492926,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152248.986086Z_rp2040_004,2026-09-11T15:22:48.997Z,2026-09-11T15:23:45.360Z,5628928,0.0009522330247700766,dde6b331ba54972b56cba507a28db292af359499a2ccbc6ecf37c49c508a24ed,df3f95e60dfbd5d34ed46e20200dfaeb34ab068eba13b6cd8cd5b435681a6dc4,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152434.913052Z_rp2040_005,2026-09-11T15:24:34.922Z,2026-09-11T15:25:31.286Z,5628928,-0.0008003235924416295,592694dfabd2fa2195776821dce883a6103e773ab21f3a55c0daea8581ed4b3d,f9220785de4f6c5188557ee2edfa65b072eaa257f50d55bd791a94a6f12621b5,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152620.334984Z_rp2040_006,2026-09-11T15:26:20.343Z,2026-09-11T15:27:16.705Z,5628928,0.0010494115709593372,b5107a0c77a98e351a203802102e3b35aa537481201034d0821fb0eda29b9090,a5d731bdf2e12b32e25d89db38a96499bda8fe77f9c9817e47fbb496862aa27f,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152806.090636Z_rp2040_007,2026-09-11T15:28:06.100Z,2026-09-11T15:29:02.464Z,5628928,-0.0005175026149946445,3e3b847a1fc063362e0441f028449a9c8e1733a45fc934e5bfa3177e2ec243a7,cac708ea48e00b10ac9dac2c46153d06cf1f556cb61f80f6d87f55437c805917,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T152951.756212Z_rp2040_008,2026-09-11T15:29:51.764Z,2026-09-11T15:30:48.177Z,5628416,-0.00686646940659924,4e11a33767fa36b6609f9037309f01f518fae729363004c784ac01894ab45ff0,2c2084f84ddf9d1eb1df883687ef69cfdab44967f38d61a3148595790ade9d13,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T153137.537424Z_rp2040_009,2026-09-11T15:31:37.545Z,2026-09-11T15:32:33.910Z,5628928,-0.0012924141235050245,f0086e08f10379c4fa38abeed3603c4d79256adfd04b4a3db00430a11c859fa8,5b03b2a38f439ea745d71e91bb7f83d5b3c3242a63f9e0afd27f5017afa5a718,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
rp2040,energy-profiling-v4-max-clock,10f13eed40fe455611a87c39bc5d00a2bb1b93583760cbb4fe6c637ea7670567,RPI-PICO-RP2040-01-NOREG,captures_max_clock/rp2040/20260911T153323.163194Z_rp2040_010,2026-09-11T15:33:23.171Z,2026-09-11T15:34:19.534Z,5628928,0.0011019981385516754,e4f570214be69f61d88417f131e65a0e409dee697fd785a796f3af987aa99d1f,686032c1d6ed494a560d47ed2814736610a53a87110b709cee5e37e923c3b9c6,593f7e06dde7d7e03dc4f7bfc3ffe0ee877910841af8ed23819cdbeabc83257e,7fac6e45351b08f2012b7e440e7d50dede2d56b0cddaa1a87abd6afb3c4e739e,9a7fbdeaad1120e75a2bd5e75ea120604e9475838a27da9c3d7d91e76fb1cdff
