sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536484,630735,94251,5.36484,6.30735,0.94251,0.03548194424867011,0.029373847880660636,0.03943441231940592,0.00046933945114016764,0.033442087273814064,0.11035888800358641,0.00031417,1.1147362424604688e-05,3.678629600119547e-05
2,Delta,3000,729259,767303,38044,7.29259,7.67303,0.38044,0.03587869729637347,0.03491467306216476,0.04933232179039562,0.0003666119038057523,0.013649691599432322,0.04504398227812666,0.00012681333333333333,4.549897199810774e-06,1.5014660759375552e-05
3,LZ77,200,865802,1264981,399179,8.65802,12.64981,3.99179,0.03304008653491208,0.02892240502812579,0.03599774039469181,0.000265263653341998,0.1318890870291967,0.43523398719634904,0.01995895,0.0006594454351459834,0.002176169935981745
4,Huffman,100,1363493,1400347,36854,13.63493,14.00347,0.36854,0.038007639359157096,0.029273447406235477,0.054066423807491375,0.005721105263247662,0.014007335409423755,0.04622420685109839,0.0036853999999999997,0.00014007335409423755,0.0004622420685109839
5,AES-128,100,1499055,1550215,51160,14.99055,15.50215,0.5116,0.03938717089193704,0.029323641940553164,0.048352139047921065,0.0015811054169922209,0.02015047662831499,0.06649657287343946,0.005116000000000001,0.00020150476628314992,0.0006649657287343947
6,SHA-256,500,1648756,1692200,43444,16.48756,16.922,0.43444,0.03868613926162599,0.029273447406235477,0.04581019534203019,0.0033011839890078817,0.016806806340820796,0.05546246092470862,0.0008688799999999999,3.361361268164159e-05,0.00011092492184941725
7,ChaCha20,3000,1790597,2196155,405558,17.90597,21.96155,4.05558,0.042923707967715496,0.036722579701541636,0.04484335737360958,0.001385132570023788,0.17408053155970762,0.5744657541470352,0.00135186,5.8026843853235874e-05,0.00019148858471567838
8,CRC32,3000,2294700,2499036,204336,22.947,24.99036,2.04336,0.03588698126975957,0.02947429397824496,0.05378887564569293,0.00036102060567619137,0.0733300220473759,0.24198907275634046,0.0006811199999999999,2.4443340682458633e-05,8.066302425211348e-05
9,FFT,20,2597481,2784508,187027,25.97481,27.84508,1.87027,0.04238998006379396,0.029223264277707585,0.04775495770654696,0.002804248403610602,0.07928070801391193,0.2616263364459094,0.0935135,0.003964035400695597,0.013081316822295469
10,FIR,300,2883314,2930983,47669,28.83314,29.30983,0.47669,0.03969275339096887,0.034041588339268736,0.041224208911143576,0.00020687778933011736,0.01892113861394095,0.06243975742600513,0.0015889666666666668,6.307046204646984e-05,0.00020813252475335045
11,IIR,50,3029617,3117901,88284,30.29617,31.17901,0.88284,0.043008168008899304,0.029373847880660636,0.04527260690576049,0.00036482304480721985,0.03796933104497666,0.12529879244842299,0.0176568,0.0007593866208995333,0.00250597584896846
12,DCT,1,3216444,3698507,482063,32.16444,36.98507,4.82063,0.04384147643841548,0.029424065226557907,0.05009724104256649,0.000460051355883863,0.21134353656331883,0.6974336706589521,4.82063,0.21134353656331883,0.6974336706589521
