sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519140,602988,83848,5.1914,6.02988,0.83848,0.044956081557225865,0.02192192149380031,0.04938688474220276,0.0006826841712072907,0.037694775264102746,0.12439275837153906,0.00027949333333333334,1.2564925088034249e-05,4.146425279051302e-05
2,Delta,3000,701592,735453,33861,7.01592,7.35453,0.33861,0.057046010750379815,0.022115970215095124,0.07256847061756873,0.0014250873792125969,0.01931634970018611,0.06374395401061417,0.00011287000000000001,6.43878323339537e-06,2.1247984670204723e-05
3,LZ77,200,834023,1189111,355088,8.34023,11.89111,3.55088,0.038081862763071316,0.026084721252666192,0.03985435472708841,0.0002580705346688942,0.13522412484813467,0.4462396119988444,0.0177544,0.0006761206242406734,0.002231198059994222
4,Huffman,100,1287666,1320444,32778,12.87666,13.20444,0.32778,0.04413695796453128,0.035687779324857824,0.061325746623043804,0.006823125979242494,0.014467212081614063,0.047741799869326404,0.0032778,0.00014467212081614063,0.00047741799869326405
5,AES-128,100,1419154,1464614,45460,14.19154,14.64614,0.4546,0.04614661194109399,0.022261626516859027,0.055291023238972094,0.0009261206147385563,0.02097824978842133,0.06922822430179039,0.004546,0.0002097824978842133,0.0006922822430179039
6,SHA-256,500,1563144,1601791,38647,15.63144,16.01791,0.38647,0.04440475057892734,0.025294839419739288,0.05042574792659853,0.001531154960078881,0.01716110395623805,0.056631643055585566,0.00077294,3.43222079124761e-05,0.00011326328611117113
7,ChaCha20,3000,1700232,2060874,360642,17.00232,20.60874,3.60642,0.049359301665445596,0.0221645109098933,0.05163378615130459,0.001718349282249071,0.1780103727122963,0.5874342299505778,0.00120214,5.9336790904098767e-05,0.00019581140998352594
8,CRC32,3000,2159400,2341082,181682,21.594,23.41082,1.81682,0.04310264778585715,0.022261626516859027,0.044468362836941513,0.00018855839091423942,0.078309752550301,0.25842218341599327,0.0006056066666666667,2.6103250850100333e-05,8.614072780533108e-05
9,FFT,20,2439529,2611383,171854,24.39529,26.11383,1.71854,0.047510818451204334,0.025048600150913584,0.05445547027718037,0.003499162508726707,0.0816492419411327,0.26944249840573786,0.085927,0.004082462097056635,0.013472124920286894
10,FIR,300,2710179,2752553,42374,27.10179,27.52553,0.42374,0.038739822375429375,0.022115970215095124,0.04074915607374402,0.00022301030028440354,0.016415612333364443,0.05417152070010266,0.0014124666666666668,5.4718707777881477e-05,0.00018057173566700887
11,IIR,50,2851187,2933879,82692,28.51187,29.33879,0.82692,0.05021572816707327,0.03610115199762145,0.052902637700622555,0.0007709855670032783,0.04152438993591623,0.13703048678852356,0.016538399999999998,0.0008304877987183245,0.002740609735770471
12,DCT,1,3032457,3453459,421002,30.32457,34.53459,4.21002,0.05043744889327384,0.024704344217728776,0.054233089574047925,0.0005949935311428138,0.21234266858966072,0.7007308063458804,4.21002,0.21234266858966072,0.7007308063458804
