sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,518883,613121,94238,5.18883,6.13121,0.94238,0.03555448182303458,0.03266169940674546,0.03938197084449966,0.00047476152315686085,0.033505832580391325,0.11056924751529136,0.00031412666666666666,1.1168610860130442e-05,3.6856415838430456e-05
2,Delta,3000,711674,749722,38048,7.11674,7.49722,0.38048,0.035917712551717294,0.035017605621923235,0.049769144766966866,0.0003728398916200735,0.013665971271677395,0.0450977051965354,0.00012682666666666666,4.5553237572257986e-06,1.5032568398845133e-05
3,LZ77,200,848217,1247191,398974,8.48217,12.47191,3.98974,0.033107349651554194,0.031644920177929386,0.034760359765950474,0.00027561018941338745,0.1320897171987918,0.43589606675601295,0.0199487,0.0006604485859939591,0.002179480333780065
4,Huffman,100,1345651,1382492,36841,13.45651,13.82492,0.36841,0.03803855907350313,0.032203584167183635,0.05401089136355211,0.0057254896924514385,0.014013785548269287,0.04624549230928864,0.0036841,0.00014013785548269285,0.0004624549230928864
5,AES-128,100,1481205,1532370,51165,14.81205,15.3237,0.51165,0.03939195341381956,0.037241690758352014,0.04818913453988702,0.0015804135797351595,0.02015489296418078,0.06651114678179658,0.0051165,0.0002015489296418078,0.0006651114678179658
6,SHA-256,500,1630831,1674240,43409,16.30831,16.7424,0.43409,0.03874564128441753,0.02962504866804486,0.04586401691750099,0.0033090151097235373,0.016819095425152805,0.05550301490300425,0.00086818,3.363819085030561e-05,0.0001110060298060085
7,ChaCha20,3000,1772637,2178010,405373,17.72637,21.7801,4.05373,0.04299291328517335,0.03807464085352486,0.044896973644864197,0.001389233160416849,0.17428166237150575,0.5751294858259689,0.0013512433333333332,5.8093887457168585e-05,0.0001917098286086563
8,CRC32,3000,2276481,2480801,204320,22.76481,24.80801,2.0432,0.03583144182148418,0.03291660707581135,0.053733400230702597,0.00036081640837109223,0.07321080192965648,0.24159564636786637,0.0006810666666666667,2.4403600643218827e-05,8.053188212262212e-05
9,FFT,20,2579211,2766254,187043,25.79211,27.66254,1.87043,0.04234281341054484,0.02947429397824496,0.04764652755610985,0.0028045265418993287,0.07919926848748539,0.2613575860087018,0.09352150000000001,0.00395996342437427,0.01306787930043509
10,FIR,300,2865028,2912698,47670,28.65028,29.12698,0.4767,0.039624417219674454,0.030481264227841896,0.041224208911143576,0.00020515706751856022,0.01888895968861881,0.06233356697244208,0.0015890000000000001,6.29631989620627e-05,0.00020777855657480693
11,IIR,50,3011341,3099616,88275,30.11341,30.99616,0.88275,0.0429483031936725,0.029223264277707585,0.04511155278778048,0.0003639566654921439,0.0379126146442144,0.12511162832590753,0.017655,0.0007582522928842881,0.0025022325665181506
12,DCT,1,3198148,3680370,482222,31.98148,36.8037,4.82222,0.043787371149347,0.031087636289239676,0.05026144315852846,0.00047172670229005386,0.21115233690380408,0.6968027117825535,4.82222,0.21115233690380408,0.6968027117825535
