folder,run,capture_id,physical_board_id,regulator_removed,csv_path,sample_count,sample_rate_Hz,sample_count_times_dt_s,csv_bytes,csv_sha256,source_raw_path,raw_bytes,raw_sha256,regulator_evidence
RP2040,4,20260910T130031.187928Z_rp2040_004,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_04/capture.csv,7493120,100000,74.9312,278103310,d943e3c4f1b96b26717ceb06df957663297c0e96b6cec614ac8b7f9b12ad9512,captures_noreg/rp2040/20260910T130031.187928Z_rp2040_004/transport.raw4,29972480,dfc7d7676cea578f25b9214d9f69f0a969f3ced212dd397cf488ed889bf9c9d3,final_campaign_fixture_and_operator_confirmation
RP2040,5,20260910T130301.774656Z_rp2040_005,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_05/capture.csv,7492608,100000,74.92608,278122525,90bb9fb7e0badbd114b28222c37a9da021167b2dcb15d21b1c82283490b1ec1b,captures_noreg/rp2040/20260910T130301.774656Z_rp2040_005/transport.raw4,29970432,262f23cb171ba49a24739dd2a32ad4c7a40783da75c71d0f9b064c7686fc0b85,final_campaign_fixture_and_operator_confirmation
RP2040,6,20260910T130531.202985Z_rp2040_006,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_06/capture.csv,7493120,100000,74.9312,278036712,e7001549a0240613f83dc4e5cadb50fb2189a5df1984a1f5066013daae81bc04,captures_noreg/rp2040/20260910T130531.202985Z_rp2040_006/transport.raw4,29972480,b5cf156a8a5d99b0fded77a736a595946bb031f33efaa32a8884ccd77d17cd17,final_campaign_fixture_and_operator_confirmation
RP2040,7,20260910T130749.983681Z_rp2040_007,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_07/capture.csv,7492608,100000,74.92608,278174352,e54c51b90ded54731ed6ea5bf129324e317b0e17c688721f66572a9795755141,captures_noreg/rp2040/20260910T130749.983681Z_rp2040_007/transport.raw4,29970432,ea17eded09cc064cde70d6a9cedb4fdce65d6ac55454844cadc3dd05598975df,final_campaign_fixture_and_operator_confirmation
RP2040,8,20260910T131019.811015Z_rp2040_008,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_08/capture.csv,7492608,100000,74.92608,278004768,e2e69390264ece2d56e212e7c9c0563bd27159e63de81ab2218923c4a2832170,captures_noreg/rp2040/20260910T131019.811015Z_rp2040_008/transport.raw4,29970432,835edaa5dd02acc62f8bee386e16f28e6ab6e679197a69a4b817f3e776c74657,final_campaign_fixture_and_operator_confirmation
RP2040,9,20260910T131247.897076Z_rp2040_009,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_09/capture.csv,7492608,100000,74.92608,278008533,4f7da21ed42d7ece1aef1f03f0dd17058f160db1c5a875d8ae45228189441068,captures_noreg/rp2040/20260910T131247.897076Z_rp2040_009/transport.raw4,29970432,e38df6a43dafad4bea7724ef3a1d05dad30ab7f3fbdde3527fae4b63132c5f47,final_campaign_fixture_and_operator_confirmation
RP2040,10,20260910T131515.232802Z_rp2040_010,RPI-PICO-RP2040-01-NOREG,True,RP2040/run_10/capture.csv,7492608,100000,74.92608,277978958,a1e93292606dde7dd3c9ed94819c09f9b8e6bdd97f7f705ed7bff3f948dd951b,captures_noreg/rp2040/20260910T131515.232802Z_rp2040_010/transport.raw4,29970432,238a3d089e09a99f84dece46a023ccf96e30fb363e1964d22fea526770d213a8,final_campaign_fixture_and_operator_confirmation
STM32F446,1,20260910T115912.942104Z_stm32_001,NUCLEO-F446RE-01,True,STM32F446/run_01/capture.csv,5192704,100000,51.92704,192988863,a101872629ee5fe9a23c61e4700ad77e79132031f02b87f4d6869fac977b762a,captures/stm32/20260910T115912.942104Z_stm32_001/transport.raw4,20770816,ac780fca048240567a39e7ab920ef69622488e239bbc8c36e4e59ba47befe99e,operator_confirmation_2026-09-10
STM32F446,2,20260910T120054.572322Z_stm32_002,NUCLEO-F446RE-01,True,STM32F446/run_02/capture.csv,5179904,100000,51.79904,192561081,a7556f58b4dae765c0943502d8386644dd0def016785dc44f56d024f05ecfb66,captures/stm32/20260910T120054.572322Z_stm32_002/transport.raw4,20719616,ec01e831b87ae5b9754b53e82926a0214c89d0981587c49cae44f55ab709c5db,operator_confirmation_2026-09-10
STM32F446,3,20260910T120239.878921Z_stm32_003,NUCLEO-F446RE-01,True,STM32F446/run_03/capture.csv,5178368,100000,51.78368,192479469,5a332c2b441cd9c3652b41298aa473fd64ce45c36c5d561e89ae3a0495c17373,captures/stm32/20260910T120239.878921Z_stm32_003/transport.raw4,20713472,a5d41d7a306d5e02b1eef78ed2bde070153d1ba08594c802b2a58d6a6a9a5780,operator_confirmation_2026-09-10
STM32F446,4,20260910T120423.976352Z_stm32_004,NUCLEO-F446RE-01,True,STM32F446/run_04/capture.csv,5177856,100000,51.77856,192468911,60a806dede5efaa43b408d66824035dfb31c9b670e3dbf894c6ff5221a6c9d1c,captures/stm32/20260910T120423.976352Z_stm32_004/transport.raw4,20711424,4405de0fb925d2f94ac4de45b5a95b3f0a11b2f8c23f20f28ef73f37027165f0,operator_confirmation_2026-09-10
STM32F446,5,20260910T120607.538986Z_stm32_005,NUCLEO-F446RE-01,True,STM32F446/run_05/capture.csv,5176832,100000,51.76832,192408433,33e39ae650d3ea332b16370911a90cffef63ddd960a008eef41d0569b9c72b61,captures/stm32/20260910T120607.538986Z_stm32_005/transport.raw4,20707328,79be4cf746ad2c598b6eaca59eeb6aefb02403d83f243b285f5da9845a95429e,operator_confirmation_2026-09-10
STM32F446,6,20260910T120752.926254Z_stm32_006,NUCLEO-F446RE-01,True,STM32F446/run_06/capture.csv,5178368,100000,51.78368,192473440,da16c18558fec87a12511ad919afd08b23c0162f40871606199149ea59dc28f7,captures/stm32/20260910T120752.926254Z_stm32_006/transport.raw4,20713472,6111157106aa4f3659015027bce75fda2b115c11a95c47f2d16acae129e2d060,operator_confirmation_2026-09-10
STM32F446,7,20260910T120938.660983Z_stm32_007,NUCLEO-F446RE-01,True,STM32F446/run_07/capture.csv,5179392,100000,51.79392,192518954,faaf94694d68dad92f6b683f91a893400c4c9ff7df35991671f60f8466072c04,captures/stm32/20260910T120938.660983Z_stm32_007/transport.raw4,20717568,ee41f40a08db31560dc1e0990987f6e359274d73998caf05e538db4ee5f2dac2,operator_confirmation_2026-09-10
STM32F446,8,20260910T121124.479390Z_stm32_008,NUCLEO-F446RE-01,True,STM32F446/run_08/capture.csv,5176320,100000,51.7632,192394600,5dadc0247d9251d130e1094e142969ba3a9e97c79046df73994c930c49dd476b,captures/stm32/20260910T121124.479390Z_stm32_008/transport.raw4,20705280,67a560041382c2c6948f09d8ea14eb0cbdd285a38f3b1ff7ae57623ecbca8531,operator_confirmation_2026-09-10
STM32F446,9,20260910T121309.937316Z_stm32_009,NUCLEO-F446RE-01,True,STM32F446/run_09/capture.csv,5177856,100000,51.77856,192478711,ef69e4a44e511f986c0a5cb13d5b633b21f00554bb2d4d8a3cdf23410b890c4f,captures/stm32/20260910T121309.937316Z_stm32_009/transport.raw4,20711424,c92771b56263ed4108e64a87257032ab0a92d2d6181f5209c4dd19e1526c3499,operator_confirmation_2026-09-10
STM32F446,10,20260910T121455.333430Z_stm32_010,NUCLEO-F446RE-01,True,STM32F446/run_10/capture.csv,5180416,100000,51.80416,192562036,337783004c91cd251f401ccf4c4be758acbdb31bb91496731cd54ec9671de59f,captures/stm32/20260910T121455.333430Z_stm32_010/transport.raw4,20721664,7c74a15fd5a78eb43e9e3a03f3e983237b28b2fc0a3f58ce53039c51fce6f729,operator_confirmation_2026-09-10
