sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528447,610754,82307,5.28447,6.10754,0.82307,0.03968812814019162,0.039067561516647704,0.04759232958957598,0.00017842088497486657,0.03266610762834751,0.10779815517354678,0.00027435666666666665,1.0888702542782504e-05,3.593271839118226e-05
2,Delta,3000,710979,744935,33956,7.10979,7.44935,0.33956,0.04051781137255231,0.037137777300671616,0.04223013217462668,0.0004207076871521725,0.01375822802966386,0.04540215249789074,0.00011318666666666665,4.586076009887954e-06,1.5134050832630246e-05
3,LZ77,200,845121,1146043,300922,8.45121,11.46043,3.00922,0.04008578907440965,0.03938197084449966,0.04645680702980606,0.00015351905001443063,0.120626958198495,0.3980689620550335,0.0150461,0.000603134790992475,0.0019903448102751675
4,Huffman,500,1246215,1410464,164249,12.46215,14.10464,1.64249,0.03974984151257321,0.037189728326616926,0.04661871658202029,0.00030257040477324823,0.06528871718598636,0.215452766713755,0.00328498,0.0001305774343719727,0.00043090553342751
5,AES-128,100,1510912,1560249,49337,15.10912,15.60249,0.49337,0.039759353808349336,0.03698199265757446,0.047863433480143235,0.00018718146523190684,0.01961607238842531,0.06473303888180353,0.0049337,0.00019616072388425312,0.0006473303888180353
6,SHA-256,500,1660465,1721548,61083,16.60465,17.21548,0.61083,0.0403913812705808,0.037189728326616926,0.04791768847562605,0.00039313652512599904,0.024672267421508867,0.08141848249097926,0.00122166,4.9344534843017735e-05,0.00016283696498195851
7,ChaCha20,3000,1821648,2169298,347650,18.21648,21.69298,3.4765,0.03997215895183117,0.037085837680516105,0.04862404134377361,0.00015160714944968546,0.13896321059604108,0.45857859496693554,0.0011588333333333333,4.632107019868036e-05,0.0001528595316556452
8,CRC32,3000,2269516,2484550,215034,22.69516,24.8455,2.15034,0.04046922201368782,0.039119934556815214,0.04441483781200523,0.00018417842690295137,0.08702258686491346,0.2871745366542144,0.00071678,2.900752895497115e-05,9.572484555140479e-05
9,FFT,20,2584673,2906337,321664,25.84673,29.06337,3.21664,0.037469873125882555,0.03656706879739943,0.048080521896813264,0.0003497890047560819,0.12052709269163886,0.3977394058824082,0.160832,0.006026354634581943,0.01988697029412041
10,FIR,300,3007072,3050627,43555,30.07072,30.50627,0.43555,0.04017637049709253,0.03859671741568056,0.047429804124713086,0.00015460823035063828,0.017498818170008652,0.05774609996102855,0.0014518333333333334,5.832939390002884e-05,0.00019248699987009518
11,IIR,50,3150970,3248362,97392,31.5097,32.48362,0.97392,0.037684841343525,0.037085837680516105,0.04759232958957598,0.0001710748129668646,0.03670202068128586,0.12111666824824334,0.0194784,0.0007340404136257173,0.002422333364964867
12,DCT,1,3348590,5328164,1979574,33.4859,53.28164,19.79574,0.03749590959595412,0.036774439481168625,0.04710506115131164,0.00014809203626933254,0.7422592774250127,2.4494556155025418,19.79574,0.7422592774250127,2.4494556155025418
