board,physical_board_id,capture_directory,started_utc,ended_utc,sample_count,sample_time_error_percent,transport_sha256,csv_sha256,expected_firmware_sha256,capture_tool_sha256,analyzer_sha256
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T110338.807055Z_rp2040_001,2026-09-10T11:03:38.928Z,2026-09-10T11:04:54.075Z,7506944,-0.0032528823365227575,03f05606bcbd86cf44996b018b9274e1c061f8b2b3029a30f7fa3e19cba78302,dc0548acb8706d1f96c19b3269f5f1e680290bf835e7dcd8c36a8a54a11f5349,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T110559.986606Z_rp2040_002,2026-09-10T11:05:59.992Z,2026-09-10T11:07:14.994Z,7492608,0.000248512219350632,45529e10ea6f3ae4c702592daff45d6080f8ad4e025196da1fe2eb66b665fbdd,c4f35c88e97136c0c7dcc714e5cc1f56d583fc673efb0c65dea6de633e8fe934,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T110831.606849Z_rp2040_003,2026-09-10T11:08:31.612Z,2026-09-10T11:09:46.613Z,7492608,0.0005250535904557138,d1900c04cc6054ffe5dba690115094384bc55f01f2a4660ff54674d0e6dc103a,63880d460e0d1aa60998ab94e164846c793a13b4530855082559ae46a1f4399b,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T111100.926278Z_rp2040_004,2026-09-10T11:11:00.930Z,2026-09-10T11:12:15.937Z,7493120,-4.137126082846511e-05,3299ba090890c65ef842cb8d8534cc0876311b6672ddc39a8e7eb16331d1a0d7,452a1b01828643b516f0145bc28c28383f3d380f76b1bb548ae7df6a2b2e33e3,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T111329.207480Z_rp2040_005,2026-09-10T11:13:29.212Z,2026-09-10T11:14:44.260Z,7492096,-0.005051468670006127,bcc728948cd2364ba7ae2d8c6ac1479c77d5672f200ea605cdbaab07ee8e0765,36888fcc6f6d4b7da11b89adcfd326260755239dad379b8767be728f7897cb09,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T111555.764689Z_rp2040_006,2026-09-10T11:15:55.769Z,2026-09-10T11:17:10.769Z,7492608,0.0014788127068871234,bc7b4f4d33b8afa64d477735841fe37a078754b173eeac26e2e53dd7f0602785,69e02431eb2d54d8f9102e756f89e1538695ae8d8acfa7630289728519cc6978,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T111823.107058Z_rp2040_007,2026-09-10T11:18:23.111Z,2026-09-10T11:19:38.117Z,7493120,0.001264108911291257,378edb912d4072d77996ccce2657668ad2649ff1be9125ee1036b018eb8987ec,367816c43f42bf86e7eef6dcc15932af2e7ad26d4bce538bfead3078dfe11793,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T112049.352712Z_rp2040_008,2026-09-10T11:20:49.357Z,2026-09-10T11:22:04.358Z,7492608,0.0007746361306043767,112d18ace377c9e73718f9d4aa7105e9fc2b59de9fb7f3e4a1acf9b814f566e5,0e17a121da8ee32771d642c84d564d564f9ea4c6c34edb96d380d4efbb8aa82f,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T112316.626879Z_rp2040_009,2026-09-10T11:23:16.631Z,2026-09-10T11:24:31.637Z,7493120,0.0011233097225482186,baa08ecebbfda3378ab28ee471b90d9cbae0d4f86ebfec180f79e301a87854c7,34dafa5c203136b4b863166b7316fc84b26db4fa9209cc95430d955ee253f422,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
rp2040,RPI-PICO-RP2040-01,captures/rp2040/20260910T112543.185929Z_rp2040_010,2026-09-10T11:25:43.191Z,2026-09-10T11:26:58.191Z,7492608,0.00025865560094391724,e6d6206c9dccba33aced754594578884d704cf6890f53827c7f66e0a165a8281,be0b61d1c81c3eed591a4767913cd8045720c7f9ed86a618cf5c71073edbc580,85ccf6b07845d379e9b647698950b2bffca27c34174072c9c67d34f648d84e15,0d8b3aa0fb12e57613ec34e71adef726595f5311348d97342a7c6a719f62f164,53cf82e70254e0357a1c6713c5d9663c533d7300834f552d2bdc840ad814dc84
