sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536671,597312,60641,5.36671,5.97312,0.60641,0.06449874178464764,0.04497737762217515,0.06957889060776333,0.0012850669680618215,0.039112682005628174,0.12907185061857296,0.00020213666666666667,1.3037560668542725e-05,4.3023950206190984e-05
2,Delta,3000,697493,715630,18137,6.97493,7.1563,0.18137,0.06718726861587906,0.052420604258331706,0.07182092199817557,0.0013345223136429435,0.012185754908861986,0.04021299119924455,6.045666666666667e-05,4.061918302953995e-06,1.3404330399748182e-05
3,LZ77,200,815783,1120972,305189,8.15783,11.20972,3.05189,0.06242024881345078,0.04720927029442963,0.06808471507062776,0.0013679727082968082,0.1904997331512823,0.6286491193992315,0.01525945,0.0009524986657564115,0.0031432455969961576
4,Huffman,200,1221131,1272447,51316,12.21131,12.72447,0.51316,0.06294201259160201,0.04646520365905028,0.07107347579007697,0.001615059462890046,0.03229932318150648,0.10658776649897138,0.0025657999999999996,0.0001614966159075324,0.0005329388324948568
5,AES-128,1000,1372813,1687883,315070,13.72813,16.87883,3.1507,0.06367132909360636,0.04646520365905028,0.06883175163354828,0.001333688709416013,0.20060925657522555,0.6620105466982442,0.0031507,0.00020060925657522556,0.0006620105466982442
6,SHA-256,1000,1788075,1859460,71385,17.88075,18.5946,0.71385,0.0650657515380139,0.04646520365905028,0.07107347579007697,0.0012814794079524937,0.046447186735411226,0.15327571622685704,0.00071385,4.644718673541122e-05,0.00015327571622685704
7,ChaCha20,3000,1959576,2073232,113656,19.59576,20.73232,1.13656,0.06631507783572071,0.04348996123047813,0.07182092199817557,0.001331857672614531,0.07537106486496674,0.24872451405439022,0.00037885333333333333,2.5123688288322245e-05,8.290817135146341e-05
8,CRC32,3000,2173439,2304280,130841,21.73439,23.0428,1.30841,0.06338469280421309,0.052420604258331706,0.06957889060776333,0.0013350256908289538,0.08293316591196045,0.2736794475094695,0.0004361366666666667,2.7644388637320152e-05,9.12264825031565e-05
9,FFT,50,2404419,2726191,321772,24.04419,27.26191,3.21772,0.05979637252737969,0.04423361822067938,0.0665909491786703,0.0013862592037088702,0.19240798380880017,0.6349463465690405,0.06435439999999999,0.0038481596761760035,0.01269892693138081
10,FIR,300,2826522,2852927,26405,28.26522,28.52927,0.26405,0.06331359643158452,0.04572123943496546,0.06808471507062776,0.0013585787806472606,0.016717955137759893,0.055169251954607645,0.0008801666666666667,5.572651712586631e-05,0.00018389750651535882
11,IIR,50,2953161,3017329,64168,29.53161,30.17329,0.64168,0.058837376719513966,0.04646520365905028,0.06509759293189092,0.0012876683482751583,0.03775476789337772,0.12459073404814647,0.0128336,0.0007550953578675544,0.0024918146809629295
12,DCT,1,3117522,3544506,426984,31.17522,35.44506,4.26984,0.0620321537790769,0.04274640665157139,0.06808471507062776,0.001351221475188041,0.26486737149205375,0.8740623259237773,4.26984,0.26486737149205375,0.8740623259237773
