sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519070,602875,83805,5.1907,6.02875,0.83805,0.04490073811569279,0.026233149161348994,0.04955064203236292,0.0006797783774923023,0.03762906357785634,0.12417590980692593,0.00027935,1.2543021192618781e-05,4.139196993564198e-05
2,Delta,3000,701485,735338,33853,7.01485,7.35338,0.33853,0.05669711974026934,0.022637558252377652,0.07182092199817557,0.0014281721124444957,0.01919367594567338,0.06333913062072215,0.00011284333333333334,6.397891981891127e-06,2.1113043540240718e-05
3,LZ77,200,833929,1189161,355232,8.33929,11.89161,3.55232,0.038006054513143865,0.02187343782795108,0.03938197084449966,0.0002533061808140658,0.1350096675681312,0.44553190297483297,0.0177616,0.0006750483378406561,0.002227659514874165
4,Huffman,100,1287715,1320501,32786,12.87715,13.20501,0.32786,0.044064552009749486,0.023723835400443958,0.061325746623043804,0.00682685880820558,0.014447004021916466,0.047675113272324335,0.0032786,0.00014447004021916467,0.00047675113272324334
5,AES-128,100,1419279,1464770,45491,14.19279,14.6477,0.45491,0.04600268841625758,0.022115970215095124,0.05273679315093088,0.0009267517373540762,0.020927082987439734,0.06905937385855111,0.0045490999999999995,0.00020927082987439734,0.0006905937385855111
6,SHA-256,500,1563388,1602079,38691,15.63388,16.02079,0.38691,0.04423926658007502,0.022067440926086732,0.049223230104150695,0.0015313992791029533,0.017116614632496824,0.05648482828723952,0.0007738199999999999,3.423322926499365e-05,0.00011296965657447904
7,ChaCha20,3000,1700602,2061572,360970,17.00602,20.61572,3.6097,0.049184597671532444,0.03291660707581135,0.05163378615130459,0.0017170424265030273,0.17754164221493068,0.5858874193092712,0.0012032333333333333,5.9180547404976897e-05,0.00019529580643642375
8,CRC32,3000,2160224,2342127,181903,21.60224,23.42127,1.81903,0.042903905329047747,0.02240738547073104,0.04409392718397313,0.0001781609310417591,0.07804349091069772,0.25754352000530245,0.0006063433333333333,2.6014496970232574e-05,8.584784000176748e-05
9,FFT,20,2440662,2612555,171893,24.40662,26.12555,1.71893,0.04736828955841422,0.022067440926086732,0.054399857992712575,0.003498181422193706,0.08142277397064496,0.26869515410312833,0.08594650000000001,0.004071138698532248,0.013434757705156416
10,FIR,300,2711364,2753757,42393,27.11364,27.53757,0.42393,0.038583202323199076,0.03200027394457958,0.04006459966988461,0.00020519154130670765,0.016356576960873784,0.053976703970883486,0.0014130999999999998,5.452192320291262e-05,0.0001799223465696116
11,IIR,50,2852409,2935129,82720,28.52409,29.35129,0.8272,0.050058773422358975,0.026679048800046044,0.05268153444594656,0.0007672613232712831,0.041408617374975344,0.13664843733741863,0.016544,0.0008281723474995069,0.0027329687467483725
12,DCT,1,3033732,3454960,421228,30.33732,34.5496,4.21228,0.050242027652607296,0.025294839419739288,0.05378887564569293,0.0005909127918284946,0.21163348824052466,0.6983905111937313,4.21228,0.21163348824052466,0.6983905111937313
