sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536565,597207,60642,5.36565,5.97207,0.60642,0.06294831755761073,0.043133658950471415,0.06808471507062776,0.0013777015444893462,0.03817311873328629,0.12597129181984476,0.00020213999999999999,1.2724372911095431e-05,4.199043060661492e-05
2,Delta,3000,697387,715524,18137,6.97387,7.15524,0.18137,0.0656620417886785,0.05167582074389071,0.07107347579007697,0.0013007346615248525,0.011909124519212621,0.039300110913401645,6.045666666666667e-05,3.969708173070874e-06,1.3100036971133882e-05
3,LZ77,200,815678,1120866,305188,8.15678,11.20866,3.05188,0.060835498882976104,0.04423361822067938,0.0665909491786703,0.0013886472662126444,0.18566264233097712,0.6126867196922244,0.015259400000000001,0.0009283132116548856,0.003063433598461122
4,Huffman,200,1221025,1272341,51316,12.21025,12.72341,0.51316,0.06120860646473166,0.04497737762217515,0.06957889060776333,0.0016546853521300215,0.031409808493441695,0.10365236802835759,0.0025657999999999996,0.00015704904246720847,0.000518261840141788
5,AES-128,1000,1372707,1687777,315070,13.72707,16.87777,3.1507,0.06207075964415703,0.04200295448395919,0.06808471507062776,0.0013609678244789081,0.19556634241084556,0.6453689299557903,0.0031507,0.00019556634241084554,0.0006453689299557903
6,SHA-256,1000,1787969,1859355,71386,17.87969,18.59355,0.71386,0.06332861102936455,0.04497737762217515,0.06808471507062776,0.0013561029141356856,0.04520776226942218,0.14918561548909318,0.0007138600000000001,4.520776226942218e-05,0.00014918561548909318
7,ChaCha20,3000,1959470,2073126,113656,19.5947,20.73126,1.13656,0.06476257168625581,0.04348996123047813,0.07107347579007697,0.0012822164621791579,0.0736065484757309,0.24290160996991197,0.00037885333333333333,2.4535516158576968e-05,8.0967203323304e-05
8,CRC32,3000,2173333,2304174,130841,21.73333,23.04174,1.30841,0.06193518999278614,0.05167582074389071,0.06808471507062776,0.0013523429954902164,0.08103662193846131,0.2674208523969223,0.0004361366666666667,2.7012207312820436e-05,8.914028413230743e-05
9,FFT,50,2404313,2726085,321772,24.04313,27.26085,3.21772,0.05824243004881725,0.04348996123047813,0.06584421984963336,0.001339440463301514,0.18740783201668024,0.6184458456550448,0.06435439999999999,0.0037481566403336046,0.012368916913100896
10,FIR,300,2826417,2852821,26404,28.26417,28.52821,0.26404,0.06158851762327772,0.04423361822067938,0.06808471507062776,0.0013769120399917967,0.01626183219325025,0.05366404623772582,0.0008801333333333333,5.4206107310834165e-05,0.00017888015412575274
11,IIR,50,2953055,3017224,64169,29.53055,30.17224,0.64169,0.05720594906917186,0.04274640665157139,0.06211210937386643,0.0013328834658384865,0.03670848545819689,0.12113800201204973,0.0128338,0.0007341697091639378,0.0024227600402409945
12,DCT,1,3117417,3544401,426984,31.17417,35.44401,4.26984,0.060346470961231205,0.04348996123047813,0.0665909491786703,0.001369829596923852,0.2576697755691035,0.8503102593780414,4.26984,0.2576697755691035,0.8503102593780414
