sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,518797,613091,94294,5.18797,6.13091,0.94294,0.03555677999302292,0.029574785698988436,0.039329540775383184,0.0004757889277770219,0.03352791012662103,0.11064210341784939,0.00031431333333333336,1.1175970042207009e-05,3.688070113928313e-05
2,Delta,3000,711709,749766,38057,7.11709,7.49766,0.38057,0.03588587184321674,0.029524534135721803,0.049277770244378266,0.00037035260139727877,0.013657086247372996,0.045068384616330885,0.00012685666666666667,4.552362082457666e-06,1.5022794872110294e-05
3,LZ77,200,848277,1247516,399239,8.48277,12.47516,3.99239,0.03310072312800191,0.029173092554969474,0.03661889435965705,0.00026328450213207374,0.13215099600900354,0.43609828682971163,0.01996195,0.0006607549800450177,0.0021804914341485584
4,Huffman,100,1345977,1382818,36841,13.45977,13.82818,0.36841,0.038086307476838666,0.029424065226557907,0.054066423807491375,0.005735784759297007,0.014031376537542134,0.04630354257388904,0.0036841,0.00014031376537542134,0.00046303542573889036
5,AES-128,100,1481532,1532741,51209,14.81532,15.32741,0.51209,0.03939458926219148,0.03460614912184428,0.04818913453988702,0.0015810774120662743,0.020173575215275637,0.0665727982104096,0.0051209,0.00020173575215275637,0.0006657279821040959
6,SHA-256,500,1631251,1674678,43427,16.31251,16.74678,0.43427,0.038744936214281406,0.029173092554969474,0.04634892435727885,0.00330908822607622,0.016825763449775984,0.05552501938426074,0.00086854,3.365152689955197e-05,0.00011105003876852149
7,ChaCha20,3000,1773133,2178818,405685,17.73133,21.78818,4.05685,0.04296666864079635,0.037345649839191565,0.04495060132190857,0.0013873155537462059,0.17430932967541468,0.5752207879288684,0.0013522833333333333,5.8103109891804894e-05,0.00019174026264295613
8,CRC32,3000,2277403,2481808,204405,22.77403,24.81808,2.04405,0.035823830866063076,0.029524534135721803,0.05378887564569293,0.0003597973792078825,0.07322570148177623,0.24164481488986156,0.00068135,2.440856716059208e-05,8.054827162995386e-05
9,FFT,20,2580263,2767351,187088,25.80263,27.67351,1.87088,0.042337963409636255,0.029273447406235477,0.047700736928433504,0.002806182584850486,0.07920924898382029,0.2613905216466069,0.093544,0.003960462449191014,0.013069526082330345
10,FIR,300,2866172,2913849,47677,28.66172,29.13849,0.47677,0.03962000130647311,0.029323641940553164,0.040907404367435764,0.00020531101154889673,0.018889628022887187,0.06233577247552771,0.0015892333333333334,6.296542674295729e-05,0.00020778590825175903
11,IIR,50,3012506,3100798,88292,30.12506,31.00798,0.88292,0.04295387809505559,0.029424065226557907,0.045218910793977364,0.00036268056000602077,0.03792483804768648,0.12515196555736538,0.0176584,0.0007584967609537296,0.0025030393111473074
12,DCT,1,3199409,3681837,482428,31.99409,36.81837,4.82428,0.043749285815843385,0.029323641940553164,0.04987846456900758,0.0004701127364361305,0.21105880457565693,0.6964940550996678,4.82428,0.21105880457565693,0.6964940550996678
