sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528031,651798,123767,5.28031,6.51798,1.23767,0.03008639979977769,0.029524534135721803,0.041594333175571443,0.00017432937423182202,0.03723703444019085,0.1228822136526298,0.0004125566666666667,1.241234481339695e-05,4.096073788420993e-05
2,Delta,3000,752191,803252,51061,7.52191,8.03252,0.51061,0.0291627888618304,0.027772915068957123,0.03332505244738581,0.000376482726846811,0.01489081162073922,0.04913967834843943,0.00017020333333333333,4.96360387357974e-06,1.6379892782813142e-05
3,LZ77,200,903589,1356102,452513,9.03589,13.56102,4.52513,0.028866623448463104,0.02762342642182388,0.03802249592915313,0.00014585374344016505,0.13062522376534386,0.4310632384256347,0.02262565,0.0006531261188267193,0.0021553161921281736
4,Huffman,500,1456418,1703401,246983,14.56418,17.03401,2.46983,0.02850278931209946,0.027125872307716063,0.03781403028956413,0.0002170779039012897,0.07039704412670261,0.2323102456181186,0.00493966,0.00014079408825340523,0.00046462049123623724
5,AES-128,100,1804114,1878297,74183,18.04114,18.78297,0.74183,0.028527331114093415,0.02792250636819848,0.040327662478650134,0.00017758559405008827,0.021162430040367917,0.06983601913321412,0.0074183,0.00021162430040367916,0.0006983601913321412
6,SHA-256,500,1978663,2070508,91845,19.78663,20.70508,0.91845,0.027437350701413492,0.02588697705547951,0.03802249592915313,0.00036098551438899155,0.02519983475171322,0.08315945468065362,0.0018369,5.039966950342644e-05,0.00016631890936130725
7,ChaCha20,3000,2170718,2693495,522777,21.70718,26.93495,5.22777,0.027148238689112564,0.026233149161348994,0.039591805178863425,0.0001351443874304376,0.141924747771782,0.4683516676468805,0.0017425899999999998,4.730824925726066e-05,0.0001561172225489602
8,CRC32,3000,2793863,3117222,323359,27.93863,31.17222,3.23359,0.030444285615873326,0.02977590600995287,0.034554768385388464,0.00018162247091546406,0.09844433752463183,0.324866313831285,0.0010778633333333332,3.2814779174877276e-05,0.000108288771277095
9,FFT,20,3217449,3701144,483695,32.17449,37.01144,4.83695,0.02867414321505798,0.02792250636819848,0.04191202737088284,0.000276389141157455,0.13869539702407468,0.4576948101794464,0.2418475,0.006934769851203735,0.02288474050897232
10,FIR,300,3802295,3867789,65494,38.02295,38.67789,0.65494,0.028775613396814923,0.028172053316063192,0.03985435472708841,0.0001652570796320495,0.018846300238109966,0.06219279078576288,0.002183133333333333,6.282100079369989e-05,0.00020730930261920962
11,IIR,50,3968362,4114810,146448,39.68362,41.1481,1.46448,0.027252769087685667,0.02662945877258721,0.03974930069042905,0.0001684852056391286,0.039911135273533904,0.1317067464026619,0.0292896,0.0007982227054706781,0.0026341349280532378
12,DCT,1,4215211,7192024,2976813,42.15211,71.92024,29.76813,0.027180309058645626,0.026530312935038915,0.03755370487034814,0.00013265962160133695,0.8091069734979406,2.6700530125432036,29.76813,0.8091069734979406,2.6700530125432036
