sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,519135,670036,150901,5.19135,6.70036,1.50901,0.02521809568925439,0.013610933119733475,0.028271951935737605,0.0004358516178622949,0.038054358576041766,0.12557938330093782,0.0005030033333333333,1.2684786192013922e-05,4.185979443364594e-05
2,Delta,3000,768885,829847,60962,7.68885,8.29847,0.60962,0.031417686315352515,0.013657432178159295,0.04233625835552626,0.00035544347125866495,0.019152849931565203,0.06320440477416517,0.0002032066666666667,6.384283310521734e-06,2.1068134924721724e-05
3,LZ77,200,928595,1567721,639126,9.28595,15.67721,6.39126,0.024514615221390045,0.01941589494690153,0.02862195638697643,0.0006950053822072229,0.15667927967986134,0.5170416229435424,0.0319563,0.0007833963983993067,0.0025852081147177118
4,Huffman,100,1666382,1725356,58974,16.66382,17.25356,0.58974,0.027195304203522532,0.013703942642374903,0.04867845602031349,0.00644851449438006,0.016038158700985378,0.05292592371325174,0.0058974000000000006,0.00016038158700985378,0.0005292592371325174
5,AES-128,100,1824412,1904102,79690,18.24412,19.04102,0.7969,0.0286071317346166,0.023381735161529405,0.033683040951477436,0.00037231689651473623,0.02279702327931597,0.0752301768217427,0.007969,0.0002279702327931597,0.000752301768217427
6,SHA-256,500,2002817,2071830,69013,20.02817,20.7183,0.69013,0.028284002098712728,0.013517969220251202,0.03594605170191166,0.0014559570194203346,0.019519638368384617,0.06441480661566923,0.0013802600000000001,3.903927673676923e-05,0.00012882961323133847
7,ChaCha20,3000,2170432,2819447,649015,21.70432,28.19447,6.49015,0.0275951059635794,0.013657432178159295,0.031239485934859396,0.00022253392306421024,0.17909637696952482,0.5910180439994319,0.0021633833333333332,5.969879232317494e-05,0.00019700601466647732
8,CRC32,3000,2918139,3245056,326917,29.18139,32.45056,3.26917,0.022979525360407527,0.020231779634002158,0.025048600150913584,0.00013118010340085003,0.07512397492248347,0.24790911724419545,0.0010897233333333333,2.5041324974161157e-05,8.263637241473182e-05
9,FFT,20,3343544,3624343,280799,33.43544,36.24343,2.80799,0.027597269995177955,0.02080968284408483,0.03409285501782665,0.0019969348646757972,0.07749285817375975,0.25572643197340716,0.1403995,0.003874642908687988,0.012786321598670358
10,FIR,300,3723469,3799726,76257,37.23469,37.99726,0.76257,0.02150815888244875,0.014123050080855933,0.02387062087539705,0.00015998555674824095,0.016401476718988943,0.054124873172663505,0.0025418999999999997,5.467158906329648e-05,0.00018041624390887834
11,IIR,50,3898523,4031457,132934,38.98523,40.31457,1.32934,0.029862784966467548,0.013843542469760474,0.033529548872127994,0.0005620727679142639,0.03969779456732397,0.1310027220721691,0.0265868,0.0007939558913464793,0.002620054441443382
12,DCT,1,4130222,4877357,747135,41.30222,48.77357,7.47135,0.029545392317328157,0.016988018525095024,0.03383663568293497,0.00045381956735024876,0.22074396689006973,0.72845509073723,7.47135,0.22074396689006973,0.72845509073723
