sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,528060,651826,123766,5.2806,6.51826,1.23766,0.03007392592645794,0.02947429397824496,0.04207102844670071,0.0001722547142968586,0.037221295162139935,0.12283027403506178,0.00041255333333333334,1.2407098387379978e-05,4.094342467835392e-05
2,Delta,3000,752220,803280,51060,7.5222,8.0328,0.5106,0.0290854530120883,0.02837189617857118,0.031898687268016285,0.0003996274816792293,0.014851032307972287,0.04900840661630854,0.00017020000000000002,4.950344102657429e-06,1.6336135538769516e-05
3,LZ77,200,903617,1356129,452512,9.03617,13.56129,4.52512,0.02883741934175706,0.02757361968435904,0.03859671741568056,0.00013076650413716654,0.13049278301177172,0.43062618393884666,0.022625600000000003,0.0006524639150588586,0.002153130919694233
4,Huffman,500,1456445,1703427,246982,14.56445,17.03427,2.46982,0.02852187742506995,0.02707617962814913,0.03781403028956413,0.00021824099547989667,0.07044390330198626,0.23246488089655465,0.0049396399999999995,0.00014088780660397252,0.0004649297617931093
5,AES-128,100,1804140,1878323,74183,18.0414,18.78323,0.74183,0.028547042351884242,0.028022290929974998,0.04048563703338692,0.0001770552468338068,0.021177052427898288,0.06988427301206435,0.0074183,0.00021177052427898287,0.0006988427301206435
6,SHA-256,500,1978690,2070535,91845,19.7869,20.70535,0.91845,0.027448921460436853,0.02657988015091817,0.03823114406137877,0.0003607003860564403,0.02521046191533823,0.08319452432061615,0.0018369,5.0420923830676456e-05,0.0001663890486412323
7,ChaCha20,3000,2170744,2693520,522776,21.70744,26.9352,5.22776,0.027199548045329404,0.026282647942489506,0.0395393294865878,0.00014571796813138852,0.14219270928945124,0.4692359406551891,0.0017425866666666667,4.739756976315041e-05,0.00015641198021839635
8,CRC32,3000,2793888,3117247,323359,27.93888,31.17247,3.23359,0.030492881859516468,0.029876534600173824,0.03599774039469181,0.00017945670628303142,0.09860147785211386,0.3253848769119757,0.0010778633333333332,3.2867159284037954e-05,0.00010846162563732524
9,FFT,20,3217473,3701167,483694,32.17473,37.01167,4.83694,0.028695987269867593,0.02792250636819848,0.042018016682304954,0.0002857997085209988,0.13880076866511337,0.4580425365948741,0.241847,0.006940038433255668,0.022902126829743706
10,FIR,300,3802318,3867812,65494,38.02318,38.67812,0.65494,0.02879169191124968,0.028271951935737605,0.03980182200586384,0.00016565318106662204,0.018856830700353867,0.062227541311167756,0.002183133333333333,6.285610233451289e-05,0.00020742513770389252
11,IIR,50,3968384,4114832,146448,39.68384,41.14832,1.46448,0.02724568141113911,0.02662945877258721,0.04027502710531744,0.00016295715636899697,0.039900755512985005,0.13167249319285051,0.0292896,0.0007980151102597001,0.00263344986385701
12,DCT,1,4215233,7192040,2976807,42.15233,71.9204,29.76807,0.027190395774473058,0.026530312935038915,0.03828333460890966,0.00013468072831530821,0.8094056047422182,2.67103849564932,29.76807,0.8094056047422182,2.67103849564932
