sequence_position,algorithm_assumed_from_order,iterations_from_manifest,start_sample_inclusive,end_sample_exclusive,sample_count,start_time_from_first_sample_s,end_time_from_first_sample_s,duration_s,mean_current_A,min_current_A,max_current_A,current_population_stddev_A,charge_C,energy_at_assumed_constant_voltage_J,mean_duration_per_call_s,charge_per_call_C,energy_per_call_at_assumed_constant_voltage_J
1,RLE,3000,536656,597297,60641,5.36656,5.97297,0.60641,0.06273563370121708,0.04265491063718001,0.06883175163354828,0.0013749732928755001,0.03804351563275505,0.12554360158809166,0.00020213666666666667,1.2681171877585016e-05,4.1847867196030555e-05
2,Delta,3000,697477,715615,18138,6.97477,7.15615,0.18138,0.06582683725685423,0.05018656094889225,0.07107347579007697,0.0012961888701016058,0.011939671741648221,0.039400916747439126,6.046000000000001e-05,3.979890580549407e-06,1.3133638915813042e-05
3,LZ77,200,815768,1120957,305189,8.15768,11.20957,3.05189,0.06062798667291874,0.04274640665157139,0.0665909491786703,0.0013911338877862361,0.185029946247214,0.6105988226158061,0.01525945,0.00092514973123607,0.0030529941130790304
4,Huffman,200,1221116,1272432,51316,12.21116,12.72432,0.51316,0.06127767641227943,0.04348996123047813,0.06808471507062776,0.0016499145336160341,0.031445252427725306,0.1037693330114935,0.0025657999999999996,0.00015722626213862654,0.0005188466650574675
5,AES-128,1000,1372797,1687867,315070,13.72797,16.87867,3.1507,0.06207165263893276,0.04274640665157139,0.06808471507062776,0.001361643727594877,0.19556915596948546,0.645378214699302,0.0031507,0.00019556915596948547,0.000645378214699302
6,SHA-256,1000,1788060,1859445,71385,17.8806,18.59445,0.71385,0.063378666724703,0.04348996123047813,0.06808471507062776,0.001358530247736272,0.04524286124142924,0.14930144209671647,0.00071385,4.524286124142924e-05,0.00014930144209671648
7,ChaCha20,3000,1959560,2073217,113657,19.5956,20.73217,1.13657,0.06475666827425919,0.04274640665157139,0.07107347579007697,0.0012758792422599,0.07360048646047478,0.24288160531956673,0.0003788566666666667,2.4533495486824927e-05,8.096053510652224e-05
8,CRC32,3000,2173423,2304265,130842,21.73423,23.04265,1.30842,0.06193104335810365,0.04572123943496546,0.0665909491786703,0.0013435159370474925,0.08103181575060997,0.2674049919770129,0.00043613999999999995,2.7010605250203323e-05,8.913499732567096e-05
9,FFT,50,2404403,2726175,321772,24.04403,27.26175,3.21772,0.05809985600053024,0.04348996123047813,0.06509759293189092,0.0013453758519152766,0.18694906865002617,0.6169319265450863,0.06435439999999999,0.0037389813730005234,0.012338638530901726
10,FIR,300,2826507,2852911,26404,28.26507,28.52911,0.26404,0.06153463081380453,0.04274640665157139,0.0665909491786703,0.0013719727853884127,0.016247603920076948,0.05361709293625393,0.0008801333333333333,5.415867973358983e-05,0.00017872364312084642
11,IIR,50,2953145,3017315,64170,29.53145,30.17315,0.6417,0.057219187175540996,0.04348996123047813,0.06211210937386643,0.0013291547496982797,0.03671755241054466,0.12116792295479738,0.012834000000000002,0.0007343510482108932,0.0024233584590959475
12,DCT,1,3117507,3544492,426985,31.17507,35.44492,4.26985,0.06040567028994451,0.04348996123047813,0.06584421984963336,0.0013739650615215144,0.2579231512875195,0.8511463992488144,4.26985,0.2579231512875195,0.8511463992488144
